                                   | Core 0    
  Instructions                     |   99999908
  Cycles                           |  157615687
  IPC                              |       0.63
  Time (ns)                        |   52538562
Branch predictor stats             |           
  num correct                      |   17043047
  num incorrect                    |    1330253
  misprediction rate               |      7.24%
  mpki                             |      13.30
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11969879
    num misses                     |         41
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   35925434
    num misses                     |     636250
    miss rate                      |      1.77%
    mpki                           |       6.36
  L2 TLB                           |           
    num accesses                   |     636291
    num misses                     |     174323
    miss rate                      |     27.40%
    mpki                           |       1.74
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11969879
    num cache misses               |      12341
    miss rate                      |      0.10%
    mpki                           |       0.12
  Cache L1-D                       |           
    num cache accesses             |   35925434
    num cache misses               |    4548048
    miss rate                      |     12.66%
    mpki                           |      45.48
  Cache L2                         |           
    num cache accesses             |    4908993
    num cache misses               |    4007542
    miss rate                      |     81.64%
    mpki                           |      40.08
  Cache L3                         |           
    num cache accesses             |    4356241
    num cache misses               |    1876862
    miss rate                      |     43.08%
    mpki                           |      18.77
DRAM summary                       |           
  num dram accesses                |    2568186
  average dram access latency (ns) |      50.95
  average dram queueing delay      |       0.94
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
