                                   | Core 0    
  Instructions                     |  249999973
  Cycles                           |  606990784
  IPC                              |       0.41
  Time (ns)                        |  202330261
Branch predictor stats             |           
  num correct                      |   40600608
  num incorrect                    |    2521753
  misprediction rate               |      5.85%
  mpki                             |      10.09
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   41868591
    num misses                     |          4
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   75636447
    num misses                     |      88470
    miss rate                      |      0.12%
    mpki                           |       0.35
  L2 TLB                           |           
    num accesses                   |      88474
    num misses                     |      88474
    miss rate                      |    100.00%
    mpki                           |       0.35
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   41868591
    num cache misses               |       5389
    miss rate                      |      0.01%
    mpki                           |       0.02
  Cache L1-D                       |           
    num cache accesses             |   75636447
    num cache misses               |    5662876
    miss rate                      |      7.49%
    mpki                           |      22.65
  Cache L2                         |           
    num cache accesses             |    7687959
    num cache misses               |    5668265
    miss rate                      |     73.73%
    mpki                           |      22.67
  Cache L3                         |           
    num cache accesses             |    7687959
    num cache misses               |    5660106
    miss rate                      |     73.62%
    mpki                           |      22.64
DRAM summary                       |           
  num dram accesses                |    7675753
  average dram access latency (ns) |      68.14
  average dram queueing delay      |       3.12
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
