                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   824247694 |  1992510784 |  1244524282 |   859513287 |   707699242 |  1226570810 |  1502816121
  Cycles                             |  1122931208 |  1122933445 |  1122932814 |  1122932934 |  1122932824 |  1122932813 |  1122932900 |  1122932909
  IPC                                |        0.22 |        0.73 |        1.77 |        1.11 |        0.77 |        0.63 |        1.09 |        1.34
  Time (ns)                          |   374310403 |   374311148 |   374310938 |   374310978 |   374310941 |   374310938 |   374310967 |   374310970
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    18886791 |   113358768 |    54977649 |     1115180 |    43001783 |   184991051 |   200655504
  num incorrect                      |     2521753 |      335096 |    19210702 |     3117521 |       18902 |    25876983 |    20771507 |    20178880
  misprediction rate                 |       5.85% |       1.74% |      14.49% |       5.37% |       1.67% |      37.57% |      10.09% |       9.14%
  mpki                               |       10.09 |        0.41 |        9.64 |        2.50 |        0.02 |       36.56 |       16.93 |       13.43
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    74304379 |   223569979 |   118527767 |    98466867 |    84408484 |   196402680 |   224947545
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7342 |        1036
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   322548182 |   936825439 |   378273497 |   642913394 |   325419810 |   494105181 |   585199647
    num misses                       |       88470 |      165394 |      601649 |      120935 |    23194216 |     2226747 |     2781085 |      180212
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.61% |       0.68% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.99 |        3.15 |        2.27 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      165398 |      601705 |      120943 |    23194222 |     2226757 |     2788427 |      181248
    num misses                       |       88474 |       89838 |       94983 |        3194 |    16605110 |     1768102 |      397362 |        5505
    miss rate                        |     100.00% |      54.32% |      15.79% |       2.64% |      71.59% |      79.40% |      14.25% |       3.04%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.32 |        2.50 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    74304379 |   223569979 |   118527767 |    98466867 |    84408484 |   196402680 |   224947545
    num cache misses                 |        9338 |      121236 |      649912 |       80844 |      587252 |       47099 |     3780306 |     4915277
    miss rate                        |       0.02% |       0.16% |       0.29% |       0.07% |       0.60% |       0.06% |       1.92% |       2.19%
    mpki                             |        0.04 |        0.15 |        0.33 |        0.06 |        0.68 |        0.07 |        3.08 |        3.27
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   322548182 |   936825439 |   378273497 |   642913394 |   325419810 |   494105181 |   585199647
    num cache misses                 |     5664510 |     8234707 |     5735932 |    10722738 |     7105307 |     5036720 |     4693082 |     8332422
    miss rate                        |       7.49% |       2.55% |       0.61% |       2.83% |       1.11% |       1.55% |       0.95% |       1.42%
    mpki                             |       22.66 |        9.99 |        2.88 |        8.62 |        8.27 |        7.12 |        3.83 |        5.54
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7693560 |     8416861 |     6386894 |    11070525 |     7724500 |     5560465 |     8613487 |    13379494
    num cache misses                 |     5673848 |     6141595 |     4482891 |     1532347 |     5642460 |     4738287 |     4548815 |     1332236
    miss rate                        |      73.75% |      72.97% |      70.19% |      13.84% |      73.05% |      85.21% |      52.81% |       9.96%
    mpki                             |       22.70 |        7.45 |        2.25 |        1.23 |        6.56 |        6.70 |        3.71 |        0.89
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7693560 |     6225493 |     4484042 |     1800279 |     5674509 |     5276989 |     4689458 |     1464947
    num cache misses                 |     5665450 |     5935637 |      166451 |     1274530 |     5136231 |     1605845 |     1298133 |     1136154
    miss rate                        |      73.64% |      95.34% |       3.71% |      70.80% |      90.51% |      30.43% |      27.68% |      77.56%
    mpki                             |       22.66 |        7.20 |        0.08 |        1.02 |        5.98 |        2.27 |        1.06 |        0.76
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29190279 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      151.19 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       41.18 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
