                                     | Core 0     
  Instructions                       |   249999886
  Cycles                             |  1105972780
  IPC                                |        0.23
  Time (ns)                          |   368657593
Branch predictor stats               |            
  num correct                        |    34399075
  num incorrect                      |     4720676
  misprediction rate                 |      12.07%
  mpki                               |       18.88
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    43801034
    num misses                       |          84
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   116504258
    num misses                       |     4543266
    miss rate                        |       3.90%
    mpki                             |       18.17
  L2 TLB                             |            
    num accesses                     |     4543350
    num misses                       |     1361713
    miss rate                        |      29.97%
    mpki                             |        5.45
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    43801034
    num cache misses                 |      954653
    miss rate                        |       2.18%
    mpki                             |        3.82
  Cache L1-D                         |            
    num cache accesses               |   116504258
    num cache misses                 |     6662141
    miss rate                        |       5.72%
    mpki                             |       26.65
  Cache L2                           |            
    num cache accesses               |     8973950
    num cache misses                 |     6540265
    miss rate                        |      72.88%
    mpki                             |       26.16
  Cache L3                           |            
    num cache accesses               |     7899580
    num cache misses                 |     4579376
    miss rate                        |      57.97%
    mpki                             |       18.32
DRAM summary                         |            
  num dram accesses                  |     6540137
  average dram access latency (ns)   |      142.37
  average dram queueing delay        |       57.33
  average dram bandwidth utilization |      71.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
