                                   | Core 0    
  Instructions                     |  499999915
  Cycles                           |  338100550
  IPC                              |       1.48
  Time (ns)                        |  112700184
Branch predictor stats             |           
  num correct                      |   57843068
  num incorrect                    |    8309922
  misprediction rate               |     12.56%
  mpki                             |      16.62
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   69014754
    num misses                     |         50
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  176118993
    num misses                     |      21013
    miss rate                      |      0.01%
    mpki                           |       0.04
  L2 TLB                           |           
    num accesses                   |      21063
    num misses                     |      10109
    miss rate                      |     47.99%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   69014754
    num cache misses               |      12807
    miss rate                      |      0.02%
    mpki                           |       0.03
  Cache L1-D                       |           
    num cache accesses             |  176118993
    num cache misses               |    2073644
    miss rate                      |      1.18%
    mpki                           |       4.15
  Cache L2                         |           
    num cache accesses             |    2088470
    num cache misses               |     640348
    miss rate                      |     30.66%
    mpki                           |       1.28
  Cache L3                         |           
    num cache accesses             |     642367
    num cache misses               |     625642
    miss rate                      |     97.40%
    mpki                           |       1.25
DRAM summary                       |           
  num dram accesses                |    1233207
  average dram access latency (ns) |      50.62
  average dram queueing delay      |       0.62
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
