                                   | Core 0    
  Instructions                     |   99999961
  Cycles                           |   59298984
  IPC                              |       1.69
  Time (ns)                        |   19766328
Branch predictor stats             |           
  num correct                      |   16263506
  num incorrect                    |    1791574
  misprediction rate               |      9.92%
  mpki                             |      17.92
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   17014212
    num misses                     |         68
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   41180560
    num misses                     |        590
    miss rate                      |      0.00%
    mpki                           |       0.01
  L2 TLB                           |           
    num accesses                   |        658
    num misses                     |        217
    miss rate                      |     32.98%
    mpki                           |       0.00
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   17014212
    num cache misses               |       5913
    miss rate                      |      0.03%
    mpki                           |       0.06
  Cache L1-D                       |           
    num cache accesses             |   41180560
    num cache misses               |       7998
    miss rate                      |      0.02%
    mpki                           |       0.08
  Cache L2                         |           
    num cache accesses             |      13943
    num cache misses               |       9011
    miss rate                      |     64.63%
    mpki                           |       0.09
  Cache L3                         |           
    num cache accesses             |       9043
    num cache misses               |       8547
    miss rate                      |     94.52%
    mpki                           |       0.09
DRAM summary                       |           
  num dram accesses                |       8547
  average dram access latency (ns) |      50.21
  average dram queueing delay      |       0.20
Coherency Traffic                  |           
  num loads from dram              |        364
  num loads from dram cache        |          0
  num loads from remote cache      |          0
