                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3195026907 |   781834829 |  5886872154 |  3621160256 |  4771339352 |   566612454 |  2587342851 |   249999989
  Cycles                             |  3765800823 |  3765801259 |  3765801099 |  3765800725 |  3765800711 |  3765801337 |  3765801135 |  3765795924
  IPC                                |        0.85 |        0.21 |        1.56 |        0.96 |        1.27 |        0.15 |        0.69 |        0.07
  Time (ns)                          |  1255266941 |  1255267086 |  1255267033 |  1255266908 |  1255266904 |  1255267112 |  1255267045 |  1255265308
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   488671697 |   107571879 |  1086425923 |   194551583 |   719547671 |   132768155 |   394239659 |    43244780
  num incorrect                      |   125114966 |    14754962 |    74115004 |   137710807 |    80911287 |    14753249 |    84426779 |    11689069
  misprediction rate                 |      20.38% |      12.06% |       6.39% |      41.45% |      10.11% |      10.00% |      17.64% |      21.28%
  mpki                               |       39.16 |       18.87 |       12.59 |       38.03 |       16.96 |       26.04 |       32.63 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   415655124 |   136999635 |   965299930 |   294615030 |   763964280 |    47914037 |   356749536 |    23761816
    num misses                       |          19 |         100 |          39 |          52 |       27723 |       38657 |         482 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1075430970 |   364368392 |  1918524764 |  1067157261 |  1921850982 |   196303131 |  1003837384 |    88558906
    num misses                       |     4756649 |    14191453 |          23 |       63470 |    10730691 |     2985812 |     5330993 |    21160612
    miss rate                        |       0.44% |       3.89% |       0.00% |       0.01% |       0.56% |       1.52% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.15 |        0.00 |        0.02 |        2.25 |        5.27 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4756668 |    14191553 |          62 |       63522 |    10758414 |     3024469 |     5331475 |    21160615
    num misses                       |      996040 |     4263973 |          62 |       56599 |     1529506 |     2559143 |      513807 |    10898649
    miss rate                        |      20.94% |      30.05% |     100.00% |      89.10% |      14.22% |      84.61% |       9.64% |      51.50%
    mpki                             |        0.31 |        5.45 |        0.00 |        0.02 |        0.32 |        4.52 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   415655124 |   136999635 |   965299930 |   294615030 |   763964280 |    47914037 |   356749536 |    23761816
    num cache misses                 |     2846621 |     3336122 |    10679256 |      217266 |    14461095 |      924184 |    20962042 |      205763
    miss rate                        |       0.68% |       2.44% |       1.11% |       0.07% |       1.89% |       1.93% |       5.88% |       0.87%
    mpki                             |        0.89 |        4.27 |        1.81 |        0.06 |        3.03 |        1.63 |        8.10 |        0.82
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1075430970 |   364368392 |  1918524764 |  1067157261 |  1921850982 |   196303131 |  1003837384 |    88558906
    num cache misses                 |     5051551 |    21154583 |      561581 |     4107072 |    17921732 |    16935378 |    23758298 |    28845831
    miss rate                        |       0.47% |       5.81% |       0.03% |       0.38% |       0.93% |       8.63% |       2.37% |      32.57%
    mpki                             |        1.58 |       27.06 |        0.10 |        1.13 |        3.76 |       29.89 |        9.18 |      115.38
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8878294 |    29722517 |    11329204 |     4551362 |    32700273 |    17912070 |    45729801 |    32870081
    num cache misses                 |     4428629 |    21227326 |     2407038 |     4219234 |    17294008 |    17162603 |    23659960 |    24833200
    miss rate                        |      49.88% |      71.42% |      21.25% |      92.70% |      52.89% |      95.82% |      51.74% |      75.55%
    mpki                             |        1.39 |       27.15 |        0.41 |        1.17 |        3.62 |       30.29 |        9.14 |       99.33
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5428534 |    26469431 |     2495405 |     4447724 |    17612331 |    17216484 |    24671151 |    28677623
    num cache misses                 |     2887316 |    17610601 |     2173767 |     4188443 |     3388078 |    15749057 |     5285348 |    20509078
    miss rate                        |      53.19% |      66.53% |      87.11% |      94.17% |      19.24% |      91.48% |      21.42% |      71.52%
    mpki                             |        0.90 |       22.52 |        0.37 |        1.16 |        0.71 |       27.80 |        2.04 |       82.04
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    90036145 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      129.06 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       19.05 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      71.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
