                                   | Core 0     
  Instructions                     |   499999893
  Cycles                           |  1130592707
  IPC                              |        0.44
  Time (ns)                        |   376864236
Branch predictor stats             |            
  num correct                      |    77608896
  num incorrect                    |     6457716
  misprediction rate               |       7.68%
  mpki                             |       12.92
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    55599511
    num misses                     |          41
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   178562361
    num misses                     |     3827915
    miss rate                      |       2.14%
    mpki                           |        7.66
  L2 TLB                           |            
    num accesses                   |     3827956
    num misses                     |     1014002
    miss rate                      |      26.49%
    mpki                           |        2.03
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    55599511
    num cache misses               |       70319
    miss rate                      |       0.13%
    mpki                           |        0.14
  Cache L1-D                       |            
    num cache accesses             |   178562361
    num cache misses               |    24233097
    miss rate                      |      13.57%
    mpki                           |       48.47
  Cache L2                         |            
    num cache accesses             |    28331857
    num cache misses               |    21405802
    miss rate                      |      75.55%
    mpki                           |       42.81
  Cache L3                         |            
    num cache accesses             |    25440870
    num cache misses               |    17373793
    miss rate                      |      68.29%
    mpki                           |       34.75
DRAM summary                       |            
  num dram accesses                |    24566637
  average dram access latency (ns) |       51.31
  average dram queueing delay      |        1.30
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
