                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2930334916 |   847789100 |  5853837660 |  3092770170 |  3527275576 |   487101782 |  2372276858 |   249999989
  Cycles                             |  3123801878 |  3123801728 |  3123801724 |  3123801747 |  3123802594 |  3123802142 |  3123801741 |  3123799718
  IPC                                |        0.94 |        0.27 |        1.87 |        0.99 |        1.13 |        0.16 |        0.76 |        0.08
  Time (ns)                          |  1041267293 |  1041267243 |  1041267241 |  1041267249 |  1041267531 |  1041267381 |  1041267247 |  1041266573
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   448129782 |   116628681 |  1080329397 |   166470097 |   531872037 |   114114152 |   361161366 |    43244780
  num incorrect                      |   114774530 |    16011271 |    73699101 |   117505676 |    59836340 |    12669999 |    77584748 |    11689069
  misprediction rate                 |      20.39% |      12.07% |       6.39% |      41.38% |      10.11% |       9.99% |      17.68% |      21.28%
  mpki                               |       39.17 |       18.89 |       12.59 |       37.99 |       16.96 |       26.01 |       32.70 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   381236771 |   148578199 |   959883646 |   251824477 |   564830026 |    41184143 |   327203752 |    23761816
    num misses                       |          19 |         101 |          39 |          52 |       20683 |       33860 |         445 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   986309240 |   395047931 |  1907759395 |   911753480 |  1420987001 |   168790133 |   920518252 |    88558906
    num misses                       |     4362071 |    15403816 |          23 |       54248 |     7945666 |     2595428 |     4889398 |    21160063
    miss rate                        |       0.44% |       3.90% |       0.00% |       0.01% |       0.56% |       1.54% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.17 |        0.00 |        0.02 |        2.25 |        5.33 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4362090 |    15403917 |          62 |       54300 |     7966349 |     2629288 |     4889843 |    21160066
    num misses                       |      913647 |     4618440 |          62 |       48509 |     1133225 |     2223134 |      465471 |    10898114
    miss rate                        |      20.95% |      29.98% |     100.00% |      89.34% |      14.23% |      84.55% |       9.52% |      51.50%
    mpki                             |        0.31 |        5.45 |        0.00 |        0.02 |        0.32 |        4.56 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   381236771 |   148578199 |   959883646 |   251824477 |   564830026 |    41184143 |   327203752 |    23761816
    num cache misses                 |     2064681 |     3219264 |     9246736 |       92874 |    10794792 |      786456 |    19113680 |      190830
    miss rate                        |       0.54% |       2.17% |       0.96% |       0.04% |       1.91% |       1.91% |       5.84% |       0.80%
    mpki                             |        0.70 |        3.80 |        1.58 |        0.03 |        3.06 |        1.61 |        8.06 |        0.76
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   986309240 |   395047931 |  1907759395 |   911753480 |  1420987001 |   168790133 |   920518252 |    88558906
    num cache misses                 |     4185718 |    22529720 |      165162 |     3411288 |    13339513 |    14526828 |    21296478 |    28748645
    miss rate                        |       0.42% |       5.70% |       0.01% |       0.37% |       0.94% |       8.61% |       2.31% |      32.46%
    mpki                             |        1.43 |       26.57 |        0.03 |        1.10 |        3.78 |       29.82 |        8.98 |      114.99
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7072537 |    29759825 |     9437405 |     3650402 |    24574952 |    15347244 |    41216788 |    32414807
    num cache misses                 |     2955227 |    22125675 |      487742 |     3358971 |    12999870 |    14677619 |    20839313 |    24334026
    miss rate                        |      41.78% |      74.35% |       5.17% |      92.02% |      52.90% |      95.64% |      50.56% |      75.07%
    mpki                             |        1.01 |       26.10 |        0.08 |        1.09 |        3.69 |       30.13 |        8.78 |       97.34
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3792400 |    26141700 |      513248 |     3507479 |    13442140 |    14712579 |    21646921 |    27834604
    num cache misses                 |     1475466 |    13603586 |      472209 |     3336175 |     3991924 |    13335035 |     3972580 |    15751420
    miss rate                        |      38.91% |      52.04% |      92.00% |      95.12% |      29.70% |      90.64% |      18.35% |      56.59%
    mpki                             |        0.50 |       16.05 |        0.08 |        1.08 |        1.13 |       27.38 |        1.67 |       63.01
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    71403100 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      126.90 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       16.89 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      68.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
