                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7    
  Instructions                       |  531750468 |  1517665104 |  249999898 |  748245397 |  1165155555 |  1234498406 |  427870088 |  263240699
  Cycles                             |  899625900 |   899625853 |  899622865 |  899625802 |   899625739 |   899626138 |  899625905 |  899626207
  IPC                                |       0.59 |        1.69 |       0.28 |       0.83 |        1.30 |        1.37 |       0.48 |       0.29
  Time (ns)                          |  299875300 |   299875284 |  299874288 |  299875267 |   299875246 |   299875379 |  299875302 |  299875402
Branch predictor stats               |            |             |            |            |             |             |            |           
  num correct                        |   80870150 |   100913027 |    4856955 |   13786439 |   102954342 |    56851437 |   22883528 |   20855893
  num incorrect                      |   17415116 |    17350887 |    6669357 |    2111823 |    17220568 |      473548 |     535354 |    1704369
  misprediction rate                 |     17.72% |      14.67% |     57.86% |     13.28% |      14.33% |       0.83% |      2.29% |      7.55%
  mpki                               |      32.75 |       11.43 |      26.68 |       2.82 |       14.78 |        0.38 |       1.25 |       6.47
TLB Summary                          |            |             |            |            |             |             |            |           
  I-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |   73471395 |   184102362 |   27532058 |   71187189 |   132028082 |    94447385 |   43207789 |   22113077
    num misses                       |        178 |          18 |         14 |         69 |         472 |          43 |         47 |         42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |  206503366 |   639755691 |   93614435 |  380558490 |   487822342 |   710364228 |  151299032 |   72544324
    num misses                       |    1104201 |     4533054 |     661938 |     836178 |      261846 |       95975 |     229304 |     352244
    miss rate                        |      0.53% |       0.71% |      0.71% |      0.22% |       0.05% |       0.01% |      0.15% |      0.49%
    mpki                             |       2.08 |        2.99 |       2.65 |       1.12 |        0.22 |        0.08 |       0.54 |       1.34
  L2 TLB                             |            |             |            |            |             |             |            |           
    num accesses                     |    1104379 |     4533072 |     661952 |     836247 |      262318 |       96018 |     229351 |     352286
    num misses                       |     104197 |       34856 |     661946 |      11448 |        8300 |       27758 |      73291 |     109951
    miss rate                        |      9.43% |       0.77% |    100.00% |      1.37% |       3.16% |      28.91% |     31.96% |     31.21%
    mpki                             |       0.20 |        0.02 |       2.65 |       0.02 |        0.01 |        0.02 |       0.17 |       0.42
Cache Summary                        |            |             |            |            |             |             |            |           
  Cache L1-I                         |            |             |            |            |             |             |            |           
    num cache accesses               |   73471395 |   184102362 |   27532058 |   71187189 |   132028082 |    94447385 |   43207789 |   22113077
    num cache misses                 |    4207405 |     1525936 |       7567 |      15124 |     1626057 |       45711 |      14602 |      22318
    miss rate                        |      5.73% |       0.83% |      0.03% |      0.02% |       1.23% |       0.05% |      0.03% |      0.10%
    mpki                             |       7.91 |        1.01 |       0.03 |       0.02 |        1.40 |        0.04 |       0.03 |       0.08
  Cache L1-D                         |            |             |            |            |             |             |            |           
    num cache accesses               |  206503366 |   639755691 |   93614435 |  380558490 |   487822342 |   710364228 |  151299032 |   72544324
    num cache misses                 |    4613712 |     2952731 |    7315804 |    5817014 |     4280207 |     6417458 |    5327413 |    3849446
    miss rate                        |      2.23% |       0.46% |      7.81% |      1.53% |       0.88% |       0.90% |      3.52% |      5.31%
    mpki                             |       8.68 |        1.95 |      29.26 |       7.77 |        3.67 |        5.20 |      12.45 |      14.62
  Cache L2                           |            |             |            |            |             |             |            |           
    num cache accesses               |    9019837 |     4504935 |    8268032 |    6024961 |     5932795 |     6473211 |    6039945 |    3902337
    num cache misses                 |    3342008 |      179785 |    7323319 |    1085367 |      566107 |     3517529 |    3947817 |    3265827
    miss rate                        |     37.05% |       3.99% |     88.57% |     18.01% |       9.54% |      54.34% |     65.36% |     83.69%
    mpki                             |       6.28 |        0.12 |      29.29 |       1.45 |        0.49 |        2.85 |       9.23 |      12.41
  Cache L3                           |            |             |            |            |             |             |            |           
    num cache accesses               |    3542023 |      206599 |    8267980 |    1281263 |      597258 |     3528880 |    4675211 |    3299933
    num cache misses                 |    1177801 |      179106 |    7318281 |     780561 |      462716 |     2028667 |    3784488 |    3043111
    miss rate                        |     33.25% |      86.69% |     88.51% |     60.92% |      77.47% |      57.49% |     80.95% |     92.22%
    mpki                             |       2.21 |        0.12 |      29.27 |       1.04 |        0.40 |        1.64 |       8.84 |      11.56
DRAM summary                         |            |             |            |            |             |             |            |           
  num dram accesses                  |   26444246 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |     177.42 |         inf |        inf |        inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |      67.41 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     88.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
