                                   | Core 0     
  Instructions                     |   249999886
  Cycles                           |  1049596975
  IPC                              |        0.24
  Time (ns)                        |   349865658
Branch predictor stats             |            
  num correct                      |    34399075
  num incorrect                    |     4720676
  misprediction rate               |      12.07%
  mpki                             |       18.88
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    43801034
    num misses                     |          84
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   116504258
    num misses                     |     4539036
    miss rate                      |       3.90%
    mpki                           |       18.16
  L2 TLB                           |            
    num accesses                   |     4539120
    num misses                     |     1361637
    miss rate                      |      30.00%
    mpki                           |        5.45
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    43801034
    num cache misses               |      918489
    miss rate                      |       2.10%
    mpki                           |        3.67
  Cache L1-D                       |            
    num cache accesses             |   116504258
    num cache misses               |     6558060
    miss rate                      |       5.63%
    mpki                           |       26.23
  Cache L2                         |            
    num cache accesses             |     9227487
    num cache misses               |     6550563
    miss rate                      |      70.99%
    mpki                           |       26.20
  Cache L3                         |            
    num cache accesses             |     8304171
    num cache misses               |     5900069
    miss rate                      |      71.05%
    mpki                           |       23.60
DRAM summary                       |            
  num dram accesses                |     8324600
  average dram access latency (ns) |       99.24
  average dram queueing delay      |       14.20
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
