                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1365840443 |  2153007718 |  2065215558 |  1675374963 |   929457362 |   572839968 |  1424050366 |   282186869 |  2302498467 |   555255509 |  2107961059 |   816764458 |  1316967835 |  2715796446 |  1417674270
  Cycles                             |  1667224942 |  1667229311 |  1667229304 |  1667229881 |  1667229300 |  1667229446 |  1667229300 |  1667229300 |  1667230086 |  1667229300 |  1667229300 |  1667229300 |  1667229300 |  1667229304 |  1667229300 |  1667229728
  IPC                                |        0.15 |        0.82 |        1.29 |        1.24 |        1.00 |        0.56 |        0.34 |        0.85 |        0.17 |        1.38 |        0.33 |        1.26 |        0.49 |        0.79 |        1.63 |        0.85
  Time (ns)                          |   555741648 |   555743104 |   555743102 |   555743294 |   555743100 |   555743149 |   555743100 |   555743100 |   555743362 |   555743100 |   555743100 |   555743100 |   555743100 |   555743102 |   555743100 |   555743243
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    71314391 |   190827126 |    95098705 |    95806741 |    56480741 |    30991535 |   217835071 |    47527759 |   101240486 |    34252041 |   169542550 |    18670687 |    26473051 |   180997129 |   213854591
  num incorrect                      |     4720676 |    52721123 |    31897654 |      790246 |    16259235 |    33987854 |      724983 |    55781711 |     4354095 |     5753868 |     1114098 |    28467668 |      331492 |     3962996 |    31025644 |    23976199
  misprediction rate                 |      12.07% |      42.50% |      14.32% |       0.82% |      14.51% |      37.57% |       2.29% |      20.39% |       8.39% |       5.38% |       3.15% |      14.38% |       1.74% |      13.02% |      14.63% |      10.08%
  mpki                               |       18.88 |       38.60 |       14.82 |        0.38 |        9.70 |       36.57 |        1.27 |       39.17 |       15.43 |        2.50 |        2.01 |       13.50 |        0.41 |        3.01 |       11.42 |       16.91
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   109775011 |   244317547 |   157993901 |   188387480 |   110874506 |    57931862 |   185292424 |    32735941 |   219621160 |    52793968 |   308801248 |    73439957 |   125937344 |   329499689 |   226843523
    num misses                       |          84 |          52 |         800 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          78 |          18 |        8298
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   400451815 |   900686772 |  1188397765 |   786434193 |   427430069 |   199210518 |   479233306 |    98625832 |   701667515 |   183342849 |  1010649465 |   319522691 |   663907678 |  1144878592 |   569900499
    num misses                       |     4543964 |       22889 |      478432 |      159972 |      505358 |     2925959 |      296960 |     2117099 |     1719863 |      220839 |     1558176 |     5640967 |      164287 |     1546215 |     8093337 |     3092103
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.68% |       0.15% |       0.44% |       1.74% |       0.03% |       0.85% |       0.56% |       0.05% |       0.23% |       0.71% |       0.54%
    mpki                             |       18.18 |        0.02 |        0.22 |        0.08 |        0.30 |        3.15 |        0.52 |        1.49 |        6.09 |        0.10 |        2.81 |        2.68 |        0.20 |        1.17 |        2.98 |        2.18
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4544048 |       22941 |      479232 |      160015 |      505414 |     2925969 |      297007 |     2117118 |     1719905 |      220847 |     1558198 |     5641032 |      164291 |     1546293 |     8093355 |     3100401
    num misses                       |     1361740 |       20383 |       15111 |       46698 |       79682 |     2323827 |       96795 |      443534 |      483569 |        5682 |      143269 |       35913 |       88473 |       21584 |       61884 |      444814
