                                   | Core 0    
  Instructions                     |  499999958
  Cycles                           |  325607605
  IPC                              |       1.54
  Time (ns)                        |  108535868
Branch predictor stats             |           
  num correct                      |   40218982
  num incorrect                    |    6400675
  misprediction rate               |     13.73%
  mpki                             |      12.80
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   73274412
    num misses                     |        149
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  240472498
    num misses                     |    1516241
    miss rate                      |      0.63%
    mpki                           |       3.03
  L2 TLB                           |           
    num accesses                   |    1516390
    num misses                     |      20541
    miss rate                      |      1.35%
    mpki                           |       0.04
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   73274412
    num cache misses               |    2858990
    miss rate                      |      3.90%
    mpki                           |       5.72
  Cache L1-D                       |           
    num cache accesses             |  240472498
    num cache misses               |    7860189
    miss rate                      |      3.27%
    mpki                           |      15.72
  Cache L2                         |           
    num cache accesses             |   10720619
    num cache misses               |    1536006
    miss rate                      |     14.33%
    mpki                           |       3.07
  Cache L3                         |           
    num cache accesses             |    1537460
    num cache misses               |       7504
    miss rate                      |      0.49%
    mpki                           |       0.02
DRAM summary                       |           
  num dram accesses                |       7504
  average dram access latency (ns) |      51.13
  average dram queueing delay      |       1.13
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
