                                     | Core 0     
  Instructions                       |   249999981
  Cycles                             |  1358294589
  IPC                                |        0.18
  Time (ns)                          |   452764863
Branch predictor stats               |            
  num correct                        |    58565837
  num incorrect                      |     6500447
  misprediction rate                 |       9.99%
  mpki                               |       26.00
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    21135842
    num misses                       |       17441
    miss rate                        |       0.08%
    mpki                             |        0.07
  D-TLB                              |            
    num accesses                     |    86633855
    num misses                       |     1331666
    miss rate                        |       1.54%
    mpki                             |        5.33
  L2 TLB                             |            
    num accesses                     |     1349107
    num misses                       |     1140456
    miss rate                        |      84.53%
    mpki                             |        4.56
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    21135842
    num cache misses                 |      337031
    miss rate                        |       1.59%
    mpki                             |        1.35
  Cache L1-D                         |            
    num cache accesses               |    86633855
    num cache misses                 |     7400714
    miss rate                        |       8.54%
    mpki                             |       29.60
  Cache L2                           |            
    num cache accesses               |     7744717
    num cache misses                 |     7258090
    miss rate                        |      93.72%
    mpki                             |       29.03
  Cache L3                           |            
    num cache accesses               |     7265399
    num cache misses                 |     6415566
    miss rate                        |      88.30%
    mpki                             |       25.66
DRAM summary                         |            
  num dram accesses                  |     6442441
  average dram access latency (ns)   |      110.88
  average dram queueing delay        |        0.87
  average dram bandwidth utilization |      14.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
