                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   372814356 |  6133488058 |   275735176 |   374054529 |   249999973 |  1349343931 |   645537449 |   253971844 |  4271237886 |   599626732 |  1727345351 |   476010289 |  4423232483 |  1279383056 |  2341539071 |  4635196954
  Cycles                             |  3445631414 |  3445631400 |  3445632006 |  3445632114 |  3445626905 |  3445631933 |  3445631405 |  3445631586 |  3445631265 |  3445631400 |  3445631400 |  3445631936 |  3445632205 |  3445631400 |  3445631881 |  3445631832
  IPC                                |        0.11 |        1.78 |        0.08 |        0.11 |        0.07 |        0.39 |        0.19 |        0.07 |        1.24 |        0.17 |        0.50 |        0.14 |        1.28 |        0.37 |        0.68 |        1.35
  Time (ns)                          |  1148543805 |  1148543800 |  1148544002 |  1148544038 |  1148542302 |  1148543978 |  1148543802 |  1148543862 |  1148543755 |  1148543800 |  1148543800 |  1148543979 |  1148544068 |  1148543800 |  1148543960 |  1148543944
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    29520775 |  1131938795 |    46978933 |     7101982 |    40600608 |    81999574 |    39532035 |    34933557 |   188468125 |    18599073 |   187333726 |     4293070 |   355763842 |     1670442 |   133635636 |   616333327
  num incorrect                      |     2418452 |    77219872 |     4256752 |     9868586 |     2521753 |    49342747 |     1473929 |     4795253 |    10702446 |     8890481 |    28776908 |       28694 |    59744092 |       28310 |    22584444 |    62312624
  misprediction rate                 |       7.57% |       6.39% |       8.31% |      58.15% |       5.85% |      37.57% |       3.59% |      12.07% |       5.37% |      32.34% |      13.32% |       0.66% |      14.38% |       1.67% |      14.46% |       9.18%
  mpki                               |        6.49 |       12.59 |       15.44 |       26.38 |       10.09 |       36.57 |        2.28 |       18.88 |        2.51 |       14.83 |       16.66 |        0.06 |       13.51 |        0.02 |        9.65 |       13.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    31522394 |  1005739295 |    32053711 |    41221618 |    41868591 |   161010617 |    61490581 |    44494366 |   406860735 |    46617536 |   202976193 |    42068764 |   648009332 |   146537287 |   263597885 |   695490174
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        3060
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
