                                   | Core 0    
  Instructions                     |   99999889
  Cycles                           |  173980188
  IPC                              |       0.57
  Time (ns)                        |   57993396
Branch predictor stats             |           
  num correct                      |     904120
  num incorrect                    |       6158
  misprediction rate               |      0.68%
  mpki                             |       0.06
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8831113
    num misses                     |          1
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27165384
    num misses                     |      48351
    miss rate                      |      0.18%
    mpki                           |       0.48
  L2 TLB                           |           
    num accesses                   |      48352
    num misses                     |      48314
    miss rate                      |     99.92%
    mpki                           |       0.48
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8831113
    num cache misses               |     208984
    miss rate                      |      2.37%
    mpki                           |       2.09
  Cache L1-D                       |           
    num cache accesses             |   27165384
    num cache misses               |    5199045
    miss rate                      |     19.14%
    mpki                           |      51.99
  Cache L2                         |           
    num cache accesses             |    5422219
    num cache misses               |    4795476
    miss rate                      |     88.44%
    mpki                           |      47.95
  Cache L3                         |           
    num cache accesses             |    4809666
    num cache misses               |    4783830
    miss rate                      |     99.46%
    mpki                           |      47.84
DRAM summary                       |           
  num dram accesses                |    9551276
  average dram access latency (ns) |      55.76
  average dram queueing delay      |       5.75
Coherency Traffic                  |           
  num loads from dram              |     826297
  num loads from dram cache        |          0
  num loads from remote cache      |          0
