                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5570706354 |  4725522215 |  3888515084 |  4907696505 |   971652846 |  1700643948 |  6740099017 |   249999989
  Cycles                             |  4343571436 |  4343571429 |  4343571429 |  4343571434 |  4343571764 |  4343571429 |  4343571426 |  4343569816
  IPC                                |        1.28 |        1.09 |        0.90 |        1.13 |        0.22 |        0.39 |        1.55 |        0.06
  Time (ns)                          |  1447857145 |  1447857143 |  1447857143 |  1447857145 |  1447857255 |  1447857143 |  1447857142 |  1447856605
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   494119273 |   512680041 |   500749895 |   280331352 |   164361032 |   103368232 |   310387307 |    43244780
  num incorrect                      |    82492249 |    78355002 |   116920050 |    47419510 |    15201254 |    62201319 |     2583374 |    11689069
  misprediction rate                 |      14.31% |      13.26% |      18.93% |      14.47% |       8.47% |      37.57% |       0.83% |      21.28%
  mpki                               |       14.81 |       16.58 |       30.07 |        9.66 |       15.64 |       36.58 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   632661390 |   556178873 |   545286890 |   551608639 |   112626694 |   202938608 |   515649504 |    23761816
    num misses                       |        1924 |          10 |         267 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2329274781 |  2118211914 |  1519350326 |  2304574331 |   336989354 |   781900636 |  3878475375 |    88558906
    num misses                       |     1223967 |    21321678 |     2712636 |     1487360 |     5741483 |     5368384 |      523001 |    21160428
    miss rate                        |       0.05% |       1.01% |       0.18% |       0.06% |       1.70% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.51 |        0.70 |        0.30 |        5.91 |        3.16 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1225891 |    21321688 |     2712903 |     1487416 |     5741525 |     5368394 |      523044 |    21160431
    num misses                       |       38746 |     1880739 |      432580 |      234561 |     1555167 |     4265956 |      149794 |    10898581
    miss rate                        |       3.16% |       8.82% |      15.95% |      15.77% |      27.09% |      79.46% |      28.64% |      51.50%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.60 |        2.51 |        0.02 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   632661390 |   556178873 |   545286890 |   551608639 |   112626694 |   202938608 |   515649504 |    23761816
    num cache misses                 |     8779187 |      413065 |    16997495 |     1653103 |      133688 |      115740 |      466399 |      205007
    miss rate                        |       1.39% |       0.07% |       3.12% |       0.30% |       0.12% |       0.06% |       0.09% |       0.86%
    mpki                             |        1.58 |        0.09 |        4.37 |        0.34 |        0.14 |        0.07 |        0.07 |        0.82
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2329274781 |  2118211914 |  1519350326 |  2304574331 |   336989354 |   781900636 |  3878475375 |    88558906
    num cache misses                 |    21612595 |    68410926 |    18949778 |    14221244 |    39465438 |    12219113 |    36462181 |    28824394
    miss rate                        |       0.93% |       3.23% |       1.25% |       0.62% |      11.71% |       1.56% |       0.94% |      32.55%
    mpki                             |        3.88 |       14.48 |        4.87 |        2.90 |       40.62 |        7.18 |        5.41 |      115.30
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    30514960 |    69503551 |    37007896 |    15912404 |    44386473 |    14482183 |    36951733 |    32949536
    num cache misses                 |    12332633 |    48335848 |    16530925 |    11350428 |    34983548 |    11513942 |    25523986 |    24644888
    miss rate                        |      40.42% |      69.54% |      44.67% |      71.33% |      78.82% |      79.50% |      69.07% |      74.80%
    mpki                             |        2.21 |       10.23 |        4.25 |        2.31 |       36.00 |        6.77 |        3.79 |       98.58
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    12458537 |    49046818 |    17596701 |    11393815 |    39772393 |    13825700 |    25548176 |    28592063
    num cache misses                 |     2567159 |     5661553 |     3439912 |     7815426 |    24902540 |     8800972 |     8784540 |    20201258
    miss rate                        |      20.61% |      11.54% |      19.55% |      68.59% |      62.61% |      63.66% |      34.38% |      70.65%
    mpki                             |        0.46 |        1.20 |        0.88 |        1.59 |       25.63 |        5.18 |        1.30 |       80.81
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   117529183 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      158.70 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       48.69 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      81.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
