                                   | Core 0     
  Instructions                     |   499999900
  Cycles                           |  1139667624
  IPC                              |        0.44
  Time (ns)                        |   379889208
Branch predictor stats             |            
  num correct                      |     7001795
  num incorrect                    |    10178715
  misprediction rate               |      59.25%
  mpki                             |       20.36
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    49702462
    num misses                     |          15
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   168526200
    num misses                     |      801900
    miss rate                      |       0.48%
    mpki                           |        1.60
  L2 TLB                           |            
    num accesses                   |      801915
    num misses                     |      783468
    miss rate                      |      97.70%
    mpki                           |        1.57
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    49702462
    num cache misses               |       33088
    miss rate                      |       0.07%
    mpki                           |        0.07
  Cache L1-D                       |            
    num cache accesses             |   168526200
    num cache misses               |     9179489
    miss rate                      |       5.45%
    mpki                           |       18.36
  Cache L2                         |            
    num cache accesses             |    11079635
    num cache misses               |     9059078
    miss rate                      |      81.76%
    mpki                           |       18.12
  Cache L3                         |            
    num cache accesses             |    10926137
    num cache misses               |     8993585
    miss rate                      |      82.31%
    mpki                           |       17.99
DRAM summary                       |            
  num dram accesses                |    12776034
  average dram access latency (ns) |      110.01
  average dram queueing delay      |       24.97
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
