                                   | Core 0    
  Instructions                     |  499999943
  Cycles                           |  446191178
  IPC                              |       1.12
  Time (ns)                        |  148730393
Branch predictor stats             |           
  num correct                      |   67109844
  num incorrect                    |    6480908
  misprediction rate               |      8.81%
  mpki                             |      12.96
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   54069740
    num misses                     |        139
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  190404465
    num misses                     |     136340
    miss rate                      |      0.07%
    mpki                           |       0.27
  L2 TLB                           |           
    num accesses                   |     136479
    num misses                     |      11064
    miss rate                      |      8.11%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   54069740
    num cache misses               |     176730
    miss rate                      |      0.33%
    mpki                           |       0.35
  Cache L1-D                       |           
    num cache accesses             |  190404465
    num cache misses               |   13629833
    miss rate                      |      7.16%
    mpki                           |      27.26
  Cache L2                         |           
    num cache accesses             |   13926206
    num cache misses               |    5417276
    miss rate                      |     38.90%
    mpki                           |      10.83
  Cache L3                         |           
    num cache accesses             |    5537054
    num cache misses               |    1673215
    miss rate                      |     30.22%
    mpki                           |       3.35
DRAM summary                       |           
  num dram accesses                |    1900540
  average dram access latency (ns) |     116.41
  average dram queueing delay      |      31.38
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
