                                   | Core 0    
  Instructions                     |  249999888
  Cycles                           |  607301817
  IPC                              |       0.41
  Time (ns)                        |  202433939
Branch predictor stats             |           
  num correct                      |   19818647
  num incorrect                    |    1620730
  misprediction rate               |      7.56%
  mpki                             |       6.48
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   20925725
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   68803936
    num misses                     |     336613
    miss rate                      |      0.49%
    mpki                           |       1.35
  L2 TLB                           |           
    num accesses                   |     336655
    num misses                     |     104706
    miss rate                      |     31.10%
    mpki                           |       0.42
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   20925725
    num cache misses               |      39585
    miss rate                      |      0.19%
    mpki                           |       0.16
  Cache L1-D                       |           
    num cache accesses             |   68803936
    num cache misses               |    3679198
    miss rate                      |      5.35%
    mpki                           |      14.72
  Cache L2                         |           
    num cache accesses             |    3756247
    num cache misses               |    3452666
    miss rate                      |     91.92%
    mpki                           |      13.81
  Cache L3                         |           
    num cache accesses             |    3490204
    num cache misses               |    3126393
    miss rate                      |     89.58%
    mpki                           |      12.51
DRAM summary                       |           
  num dram accesses                |    3385832
  average dram access latency (ns) |     109.71
  average dram queueing delay      |      24.67
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
