                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13      | Core 14     | Core 15    
  Instructions                       |  2826564399 |  3710252315 |  2158967614 |   480619895 |  1170127905 |  8560282934 |  3172599775 |  6401706884 |  1754349737 |   249999981 |  6927965943 |   691070222 |  3881594453 |  10177734001 |   874187707 |  1962648399
  Cycles                             |  5575906439 |  5575907582 |  5575905984 |  5575907534 |  5575905900 |  5575905900 |  5575906855 |  5575906242 |  5575906149 |  5575902029 |  5575905871 |  5575907224 |  5575905873 |   5575905900 |  5575906358 |  5575908487
  IPC                                |        0.51 |        0.67 |        0.39 |        0.09 |        0.21 |        1.54 |        0.57 |        1.15 |        0.31 |        0.04 |        1.24 |        0.12 |        0.70 |         1.83 |        0.16 |        0.35
  Time (ns)                          |  1858635480 |  1858635861 |  1858635328 |  1858635845 |  1858635300 |  1858635300 |  1858635618 |  1858635414 |  1858635383 |  1858634010 |  1858635290 |  1858635741 |  1858635291 |   1858635300 |  1858635453 |  1858636162
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
  num correct                        |   305952829 |   199697701 |   131224125 |    66096218 |    62373456 |   570176230 |   408058950 |   514845694 |    40456417 |    58565837 |   305312272 |    12708591 |   178744353 |   1878305641 |     7924167 |   297946868
  num incorrect                      |    46579372 |   141209608 |    78965361 |     9077446 |     1459229 |    97911726 |    95444658 |    86469647 |      721656 |     6500447 |    17351780 |    17737293 |     1486147 |    128135709 |       53054 |    64602648
  misprediction rate                 |      13.21% |      41.42% |      37.57% |      12.08% |       2.29% |      14.66% |      18.96% |      14.38% |       1.75% |       9.99% |       5.38% |      58.26% |       0.82% |        6.39% |       0.67% |      17.82%
  mpki                               |       16.48 |       38.06 |       36.58 |       18.89 |        1.25 |       11.44 |       30.08 |       13.51 |        0.41 |       26.00 |        2.50 |       25.67 |        0.38 |        12.59 |        0.06 |       32.92
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num accesses                     |   332562569 |   300666534 |   257639538 |    84186339 |   116866053 |  1038689406 |   444985383 |   937809129 |   156773907 |    21135842 |   660176338 |    74600688 |   296956468 |   1668892874 |    77261111 |   271319500
    num misses                       |          10 |          52 |          10 |          92 |          47 |          18 |         237 |          65 |           4 |       17441 |           8 |          14 |          43 |           39 |           3 |         394
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num accesses                     |  1270368242 |  1092137267 |   992700050 |   223998257 |   408554691 |  3609610053 |  1241230676 |  3069336109 |   689035090 |    86633855 |  2108532359 |   250899255 |  2233596706 |   3316906283 |   237950271 |   762098334
    num misses                       |    12967098 |       66034 |     6816452 |     8725301 |      627186 |    25663674 |     2191885 |    17128762 |      368194 |     1331685 |      675880 |     1731407 |      300766 |           23 |      424620 |     4048119
    miss rate                        |       1.02% |       0.01% |       0.69% |       3.90% |       0.15% |       0.71% |       0.18% |       0.56% |       0.05% |       1.54% |       0.03% |       0.69% |       0.01% |        0.00% |       0.18% |       0.53%
    mpki                             |        4.59 |        0.02 |        3.16 |       18.15 |        0.54 |        3.00 |        0.69 |        2.68 |        0.21 |        5.33 |        0.10 |        2.51 |        0.08 |         0.00 |        0.49 |        2.06
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num accesses                     |    12967108 |       66086 |     6816462 |     8725393 |      627233 |    25663692 |     2192122 |    17128827 |      368198 |     1349126 |      675888 |     1731421 |      300809 |           62 |      424623 |     4048513
    num misses                       |     1153921 |       58936 |     5417660 |     2609336 |      194179 |      196202 |      350821 |      108829 |      191363 |     1140469 |       16711 |     1731402 |       86999 |           62 |      424302 |      376345
    miss rate                        |       8.90% |      89.18% |      79.48% |      29.91% |      30.96% |       0.76% |      16.00% |       0.64% |      51.97% |      84.53% |       2.47% |     100.00% |      28.92% |      100.00% |      99.92% |       9.30%
    mpki                             |        0.41 |        0.02 |        2.51 |        5.43 |        0.17 |        0.02 |        0.11 |        0.02 |        0.11 |        4.56 |        0.00 |        2.51 |        0.02 |         0.00 |        0.49 |        0.19
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num cache accesses               |   332562569 |   300666534 |   257639538 |    84186339 |   116866053 |  1038689406 |   444985383 |   937809129 |   156773907 |    21135842 |   660176338 |    74600688 |   296956468 |   1668892874 |    77261111 |   271319500
    num cache misses                 |       60679 |       57493 |       58253 |     1003603 |       39140 |     8609494 |    12820589 |    27672955 |       51822 |      346853 |       37690 |       14820 |      143376 |     15718520 |      121795 |    15570370
    miss rate                        |       0.02% |       0.02% |       0.02% |       1.19% |       0.03% |       0.83% |       2.88% |       2.95% |       0.03% |       1.64% |       0.01% |       0.02% |       0.05% |        0.94% |       0.16% |       5.74%
    mpki                             |        0.02 |        0.02 |        0.03 |        2.09 |        0.03 |        1.01 |        4.04 |        4.32 |        0.03 |        1.39 |        0.01 |        0.02 |        0.04 |         1.54 |        0.14 |        7.93
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num cache accesses               |  1270368242 |  1092137267 |   992700050 |   223998257 |   408554691 |  3609610053 |  1241230676 |  3069336109 |   689035090 |    86633855 |  2108532359 |   250899255 |  2233596706 |   3316906283 |   237950271 |   762098334
    num cache misses                 |    40660715 |     4043663 |    15299537 |    12443948 |    14370566 |    16582456 |    15190922 |   101031932 |    17829455 |     7413496 |    55924248 |    19139922 |    20191400 |       107217 |    44799268 |    16388625
    miss rate                        |       3.20% |       0.37% |       1.54% |       5.56% |       3.52% |       0.46% |       1.22% |       3.29% |       2.59% |       8.56% |       2.65% |       7.63% |       0.90% |        0.00% |      18.83% |       2.15%
    mpki                             |       14.39 |        1.09 |        7.09 |       25.89 |       12.28 |        1.94 |        4.79 |       15.78 |       10.16 |       29.65 |        8.07 |       27.70 |        5.20 |         0.01 |       51.25 |        8.35
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num cache accesses               |    41155865 |     4204387 |    16626604 |    15959275 |    16454276 |    25318997 |    28951583 |   128752235 |    17900797 |     7780440 |    56179168 |    21509399 |    20381031 |     15840130 |    44921074 |    32738631
    num cache misses                 |    16055106 |     3916706 |    10157816 |    10250051 |    10564638 |      836605 |     4744150 |     1154133 |    12151447 |     7342078 |     1312268 |    19154594 |    11175004 |       312400 |    27307920 |    11808472
    miss rate                        |      39.01% |      93.16% |      61.09% |      64.23% |      64.21% |       3.30% |      16.39% |       0.90% |      67.88% |      94.37% |       2.34% |      89.05% |      54.83% |        1.97% |      60.79% |      36.07%
    mpki                             |        5.68 |        1.06 |        4.70 |       21.33 |        9.03 |        0.10 |        1.50 |        0.18 |        6.93 |       29.37 |        0.19 |       27.72 |        2.88 |         0.03 |       31.24 |        6.02
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
    num cache accesses               |    16591245 |     4021970 |    11867403 |    12772042 |    12695360 |      966014 |     5715813 |     1210654 |    12178019 |     7363223 |     1536768 |    21509251 |    11229141 |       326793 |    27307931 |    12592222
    num cache misses                 |     6319850 |     3911811 |     4281285 |     8479725 |    10335645 |      833980 |     3238403 |     1139987 |    12091158 |     7255411 |     1309082 |    19140336 |     8026122 |       312392 |    27154259 |     4428987
    miss rate                        |      38.09% |      97.26% |      36.08% |      66.39% |      81.41% |      86.33% |      56.66% |      94.16% |      99.29% |      98.54% |      85.18% |      88.99% |      71.48% |       95.59% |      99.44% |      35.17%
    mpki                             |        2.24 |        1.05 |        1.98 |       17.64 |        8.83 |        0.10 |        1.02 |        0.18 |        6.89 |       29.02 |        0.19 |       27.70 |        2.07 |         0.03 |       31.06 |        2.26
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
  num dram accesses                  |   178274506 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0 |           0 |           0
  average dram access latency (ns)   |      432.77 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |          inf |         inf |         inf
  average dram queueing delay        |      322.76 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      96.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |              |             |            
