                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   828106667 |   249999981 |   409785797 |  2837051295 |  1986148203 |  1053900699 |  3138141007 |  4240710328
  Cycles                             |  3313391176 |  3313389668 |  3313391581 |  3313391093 |  3313391296 |  3313391397 |  3313391074 |  3313391094
  IPC                                |        0.25 |        0.08 |        0.12 |        0.86 |        0.60 |        0.32 |        0.95 |        1.28
  Time (ns)                          |  1104463726 |  1104463223 |  1104463861 |  1104463698 |  1104463766 |  1104463799 |  1104463692 |  1104463698
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7511914 |    58565837 |    67675611 |   433656799 |     2582909 |    65170124 |   144503364 |   340983166
  num incorrect                      |       50306 |     6500447 |     4286696 |   111237066 |       43772 |     2172226 |     1200677 |    57286528
  misprediction rate                 |       0.67% |       9.99% |       5.96% |      20.41% |       1.67% |       3.23% |       0.82% |      14.38%
  mpki                               |        0.06 |       26.00 |       10.46 |       39.21 |        0.02 |        2.06 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    73188774 |    21135842 |    68611428 |   369137348 |   227518244 |   100127909 |   240074244 |   621188100
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   225482116 |    86633855 |   125246605 |   954862703 |  1485692224 |   348518152 |  1805797274 |  2033188627
    num misses                       |      402699 |     1331683 |      148916 |     4227078 |    53485150 |     2872153 |      242797 |    11337452
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.60% |       0.82% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       26.93 |        2.73 |        0.08 |        2.67
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      402702 |     1349124 |      148920 |     4227097 |    53485156 |     2872175 |      242840 |    11337517
    num misses                       |      402399 |     1140463 |      148920 |      884714 |    38178657 |      273818 |       70602 |       72343
    miss rate                        |      99.92% |      84.53% |     100.00% |      20.93% |      71.38% |       9.53% |      29.07% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.22 |        0.26 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    73188774 |    21135842 |    68611428 |   369137348 |   227518244 |   100127909 |   240074244 |   621188100
    num cache misses                 |      568683 |      402907 |       11475 |     1915942 |      956704 |      652073 |      216032 |    20661569
    miss rate                        |       0.78% |       1.91% |       0.02% |       0.52% |       0.42% |       0.65% |       0.09% |       3.33%
    mpki                             |        0.69 |        1.61 |        0.03 |        0.68 |        0.48 |        0.62 |        0.07 |        4.87
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   225482116 |    86633855 |   125246605 |   954862703 |  1485692224 |   348518152 |  1805797274 |  2033188627
    num cache misses                 |    42541970 |     7451794 |     9533251 |     3956706 |    16336902 |    20406643 |    16983126 |    68461128
    miss rate                        |      18.87% |       8.60% |       7.61% |       0.41% |       1.10% |       5.86% |       0.94% |       3.37%
    mpki                             |       51.37 |       29.81 |       23.26 |        1.39 |        8.23 |       19.36 |        5.41 |       16.14
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    43110664 |     7874395 |    12829191 |     6651666 |    17294585 |    22524356 |    17227645 |    89153819
    num cache misses                 |    28016715 |     7525941 |     9544726 |     2690889 |    12076779 |     9808851 |    11894656 |    14092982
    miss rate                        |      64.99% |      95.57% |      74.40% |      40.45% |      69.83% |      43.55% |      69.04% |      15.81%
    mpki                             |       33.83 |       30.10 |       23.29 |        0.95 |        6.08 |        9.31 |        3.79 |        3.32
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28016726 |     7546208 |    12829191 |     3483791 |    12078024 |    11281309 |    11925104 |    14131069
    num cache misses                 |    25745053 |     7264978 |     9527377 |     1252818 |    10518839 |     5616652 |     7521508 |      694501
    miss rate                        |      91.89% |      96.27% |      74.26% |      35.96% |      87.09% |      49.79% |      63.07% |       4.91%
    mpki                             |       31.09 |       29.06 |       23.25 |        0.44 |        5.30 |        5.33 |        2.40 |        0.16
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   104442094 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      264.21 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      154.20 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
