                                     | Core 0       | Core 1      | Core 2      | Core 3      | Core 4      | Core 5       | Core 6      | Core 7     
  Instructions                       |  12335925401 |  1817919567 |   249999989 |  2356010948 |   803262665 |  10518252811 |  3687491549 |  6683093674
  Cycles                             |   6979935669 |  6979935656 |  6979932838 |  6979935648 |  6979936188 |   6979935991 |  6979935917 |  6979936474
  IPC                                |         1.77 |        0.26 |        0.04 |        0.34 |        0.12 |         1.51 |        0.53 |        0.96
  Time (ns)                          |   2326645223 |  2326645219 |  2326644279 |  2326645216 |  2326645396 |   2326645330 |  2326645306 |  2326645491
Branch predictor stats               |              |             |             |             |             |              |             |            
  num correct                        |    703131574 |    16504903 |    43244780 |   125711993 |   110482394 |    484374237 |   556361540 |   445614118
  num incorrect                      |    118930014 |      110564 |    11689069 |     2941516 |    15150566 |      4031227 |    62460331 |    76368917
  misprediction rate                 |       14.47% |       0.67% |      21.28% |       2.29% |      12.06% |        0.83% |      10.09% |      14.63%
  mpki                               |         9.64 |        0.06 |       46.76 |        1.25 |       18.86 |         0.38 |       16.94 |       11.43
TLB Summary                          |              |             |             |             |             |              |             |            
  I-TLB                              |              |             |             |             |             |              |             |            
    num accesses                     |   1385766441 |   160670068 |    23761816 |   235427847 |   140732050 |    804695926 |   590204973 |   810866003
    num misses                       |           56 |           3 |           3 |          47 |         100 |           43 |       21379 |          18
    miss rate                        |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00%
    mpki                             |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.01 |        0.00
  D-TLB                              |              |             |             |             |             |              |             |            
    num accesses                     |   5796571008 |   495189627 |    88558906 |   818358490 |   374359159 |   6052547130 |  1483620041 |  2817610083
    num misses                       |      3743496 |      885198 |    21160498 |     1259416 |    14557873 |       816666 |     8176467 |    19959332
    miss rate                        |        0.06% |       0.18% |      23.89% |       0.15% |       3.89% |        0.01% |       0.55% |       0.71%
    mpki                             |         0.30 |        0.49 |       84.64 |        0.53 |       18.12 |         0.08 |        2.22 |        2.99
  L2 TLB                             |              |             |             |             |             |              |             |            
    num accesses                     |      3743552 |      885201 |    21160501 |     1259463 |    14557973 |       816709 |     8197846 |    19959350
    num misses                       |       590204 |      884535 |    10898921 |      387300 |     4374153 |       233559 |     1168221 |      152405
    miss rate                        |       15.77% |      99.92% |      51.51% |      30.75% |      30.05% |       28.60% |      14.25% |       0.76%
    mpki                             |         0.05 |        0.49 |       43.60 |        0.16 |        5.45 |         0.02 |        0.32 |        0.02
Cache Summary                        |              |             |             |             |             |              |             |            
  Cache L1-I                         |              |             |             |             |             |              |             |            
    num cache accesses               |   1385766441 |   160670068 |    23761816 |   235427847 |   140732050 |    804695926 |   590204973 |   810866003
    num cache misses                 |      1906257 |      213665 |      101805 |      141584 |     2220200 |       309708 |    10989553 |     8842620
    miss rate                        |        0.14% |       0.13% |       0.43% |       0.06% |       1.58% |        0.04% |       1.86% |       1.09%
    mpki                             |         0.15 |        0.12 |        0.41 |        0.06 |        2.76 |         0.03 |        2.98 |        1.32
  Cache L1-D                         |              |             |             |             |             |              |             |            
    num cache accesses               |   5796571008 |   495189627 |    88558906 |   818358490 |   374359159 |   6052547130 |  1483620041 |  2817610083
    num cache misses                 |     34661750 |    93387283 |    28927808 |    28971604 |    21297100 |     54666866 |    13811290 |    16350571
    miss rate                        |        0.60% |      18.86% |      32.67% |       3.54% |       5.69% |        0.90% |       0.93% |       0.58%
    mpki                             |         2.81 |       51.37 |      115.71 |       12.30 |       26.51 |         5.20 |        3.75 |        2.45
  Cache L2                           |              |             |             |             |             |              |             |            
    num cache accesses               |     36573386 |    93610221 |    33162117 |    33285233 |    29062582 |     55008788 |    25889752 |    25996484
    num cache misses                 |     13615510 |    57462460 |    23006481 |    22542136 |    19313636 |     27171121 |     9838395 |     6920789
    miss rate                        |       37.23% |      61.38% |      69.38% |      67.72% |      66.46% |       49.39% |      38.00% |      26.62%
    mpki                             |         1.10 |       31.61 |       92.03 |        9.57 |       24.04 |         2.58 |        2.67 |        1.04
  Cache L3                           |              |             |             |             |             |              |             |            
    num cache accesses               |     13635822 |    57471733 |    27189506 |    26978668 |    24875599 |     27208123 |    10939008 |     7757496
    num cache misses                 |       595401 |    57362914 |    22700112 |    21753886 |    18924878 |      6536963 |     9725011 |     6846507
    miss rate                        |        4.37% |      99.81% |      83.49% |      80.63% |      76.08% |       24.03% |      88.90% |      88.26%
    mpki                             |         0.05 |       31.55 |       90.80 |        9.23 |       23.56 |         0.62 |        2.64 |        1.02
DRAM summary                         |              |             |             |             |             |              |             |            
  num dram accesses                  |    218141591 |           0 |           0 |           0 |           0 |            0 |           0 |           0
  average dram access latency (ns)   |       236.50 |         inf |         inf |         inf |         inf |          inf |         inf |         inf
  average dram queueing delay        |       126.49 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       93.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00%
Coherency Traffic                    |              |             |             |             |             |              |             |            
  num loads from dram                |            0 |           0 |           0 |           0 |           0 |            0 |           0 |           0
  num loads from dram cache          |            0 |           0 |           0 |           0 |           0 |            0 |           0 |           0
  num loads from remote cache        |            0 |           0 |           0 |           0 |           0 |            0 |           0 |           0
