                                   | Core 0    
  Instructions                     |   99999915
  Cycles                           |  708565147
  IPC                              |       0.14
  Time (ns)                        |  236188382
Branch predictor stats             |           
  num correct                      |   16987764
  num incorrect                    |    4886023
  misprediction rate               |     22.34%
  mpki                             |      48.86
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9678072
    num misses                     |          3
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   35503728
    num misses                     |    8311975
    miss rate                      |     23.41%
    mpki                           |      83.12
  L2 TLB                           |           
    num accesses                   |    8311978
    num misses                     |    4149688
    miss rate                      |     49.92%
    mpki                           |      41.50
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9678072
    num cache misses               |      73582
    miss rate                      |      0.76%
    mpki                           |       0.74
  Cache L1-D                       |           
    num cache accesses             |   35503728
    num cache misses               |   11423131
    miss rate                      |     32.17%
    mpki                           |     114.23
  Cache L2                         |           
    num cache accesses             |   13126695
    num cache misses               |    9703351
    miss rate                      |     73.92%
    mpki                           |      97.03
  Cache L3                         |           
    num cache accesses             |   11347147
    num cache misses               |    8066959
    miss rate                      |     71.09%
    mpki                           |      80.67
DRAM summary                       |           
  num dram accesses                |    9843090
  average dram access latency (ns) |      50.74
  average dram queueing delay      |       0.73
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
