                                     | Core 0     
  Instructions                       |   249999989
  Cycles                             |  1729760955
  IPC                                |        0.14
  Time (ns)                          |   576586985
Branch predictor stats               |            
  num correct                        |    43244780
  num incorrect                      |    11689069
  misprediction rate                 |      21.28%
  mpki                               |       46.76
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    23761816
    num misses                       |           3
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    88558906
    num misses                       |    21160048
    miss rate                        |      23.89%
    mpki                             |       84.64
  L2 TLB                             |            
    num accesses                     |    21160051
    num misses                       |    10898425
    miss rate                        |      51.50%
    mpki                             |       43.59
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    23761816
    num cache misses                 |      191528
    miss rate                        |       0.81%
    mpki                             |        0.77
  Cache L1-D                         |            
    num cache accesses               |    88558906
    num cache misses                 |    28783813
    miss rate                        |      32.50%
    mpki                             |      115.14
  Cache L2                           |            
    num cache accesses               |    32791684
    num cache misses                 |    24359162
    miss rate                        |      74.28%
    mpki                             |       97.44
  Cache L3                           |            
    num cache accesses               |    28201723
    num cache misses                 |    19893953
    miss rate                        |      70.54%
    mpki                             |       79.58
DRAM summary                         |            
  num dram accesses                  |    24072212
  average dram access latency (ns)   |       50.72
  average dram queueing delay        |        0.71
  average dram bandwidth utilization |      20.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
