                                     | Core 0      | Core 1     | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1219200962 |  566190144 |  1020512519 |  1260896351 |  406869766 |  249999888 |  636726201 |  791102226
  Cycles                             |   726851682 |  726851824 |   726851697 |   726851682 |  726852035 |  726850686 |  726851682 |  726851978
  IPC                                |        1.68 |       0.78 |        1.40 |        1.73 |       0.56 |       0.34 |       0.88 |       1.09
  Time (ns)                          |   242283894 |  242283941 |   242283899 |   242283894 |  242284012 |  242283562 |  242283894 |  242283993
Branch predictor stats               |             |            |             |             |            |            |            |           
  num correct                        |   159426299 |   12886105 |    82055469 |    83903096 |   21934569 |   19818647 |     833241 |  118997642
  num incorrect                      |    16695159 |     228314 |    13790773 |    14410257 |     513029 |    1620730 |      14122 |   13488030
  misprediction rate                 |       9.48% |      1.74% |      14.39% |      14.66% |      2.29% |      7.56% |      1.67% |     10.18%
  mpki                               |       13.69 |       0.40 |       13.51 |       11.43 |       1.26 |       6.48 |       0.02 |      17.05
TLB Summary                          |             |            |             |             |            |            |            |           
  I-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   184697985 |   51034591 |   149492545 |   152960391 |   40948459 |   20925725 |   72923532 |  126816504
    num misses                       |         848 |          4 |          65 |          18 |         47 |         42 |          6 |       5323
    miss rate                        |       0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   481544689 |  221085946 |   489238241 |   531515196 |  144133674 |   68803935 |  476340039 |  319967956
    num misses                       |      145371 |     111596 |     2731928 |     3766946 |     212130 |     336443 |   17329834 |    1880256
    miss rate                        |       0.03% |      0.05% |       0.56% |       0.71% |      0.15% |      0.49% |      3.64% |      0.59%
    mpki                             |        0.12 |       0.20 |        2.68 |        2.99 |       0.52 |       1.35 |      27.22 |       2.38
  L2 TLB                             |             |            |             |             |            |            |            |           
    num accesses                     |      146219 |     111600 |     2731993 |     3766964 |     212177 |     336485 |   17329840 |    1885579
    num misses                       |        4449 |      61087 |       17496 |       28979 |      68687 |     104709 |   12445353 |     271940
    miss rate                        |       3.04% |     54.74% |       0.64% |       0.77% |     32.37% |     31.12% |     71.81% |     14.42%
    mpki                             |        0.00 |       0.11 |        0.02 |        0.02 |       0.17 |       0.42 |      19.55 |       0.34
Cache Summary                        |             |            |             |             |            |            |            |           
  Cache L1-I                         |             |            |             |             |            |            |            |           
    num cache accesses               |   184697985 |   51034591 |   149492545 |   152960391 |   40948459 |   20925725 |   72923532 |  126816504
    num cache misses                 |     3857001 |      65594 |     4964401 |     1327945 |      41504 |      39831 |     308816 |    2555013
    miss rate                        |       2.09% |      0.13% |       3.32% |       0.87% |      0.10% |      0.19% |      0.42% |      2.01%
    mpki                             |        3.16 |       0.12 |        4.86 |        1.05 |       0.10 |       0.16 |       0.49 |       3.23
  Cache L1-D                         |             |            |             |             |            |            |            |           
    num cache accesses               |   481544689 |  221085946 |   489238241 |   531515196 |  144133674 |   68803935 |  476340039 |  319967956
    num cache misses                 |     5534517 |    5502543 |    16509380 |     2524056 |    5090116 |    3683605 |    5253131 |    3151497
    miss rate                        |       1.15% |      2.49% |       3.37% |       0.47% |      3.53% |      5.35% |      1.10% |      0.98%
    mpki                             |        4.54 |       9.72 |       16.18 |        2.00 |      12.51 |      14.73 |       8.25 |       3.98
  Cache L2                           |             |            |             |             |            |            |            |           
    num cache accesses               |     9438266 |    5568371 |    21480234 |     3870686 |    5803681 |    3745854 |    5562155 |    5799911
    num cache misses                 |      592063 |    3979320 |     3363525 |      423386 |    4160293 |    3452492 |    3909101 |    3071765
    miss rate                        |       6.27% |     71.46% |      15.66% |      10.94% |     71.68% |     92.17% |     70.28% |     52.96%
    mpki                             |        0.49 |       7.03 |        3.30 |        0.34 |      10.23 |      13.81 |       6.14 |       3.88
  Cache L3                           |             |            |             |             |            |            |            |           
    num cache accesses               |      638953 |    3979994 |     3371329 |      442529 |    4841870 |    3474982 |    3909385 |    3165527
    num cache misses                 |      304766 |    3815797 |      131143 |      124831 |    3606895 |    2859455 |    3315654 |     868254
    miss rate                        |      47.70% |     95.87% |       3.89% |      28.21% |     74.49% |     82.29% |     84.81% |     27.43%
    mpki                             |        0.25 |       6.74 |        0.13 |        0.10 |       8.86 |      11.44 |       5.21 |       1.10
DRAM summary                         |             |            |             |             |            |            |            |           
  num dram accesses                  |    18953450 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      147.89 |        inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       37.88 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      78.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |             |             |            |            |            |           
  num loads from dram                |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
