                                   | Core 0    
  Instructions                     |   99999974
  Cycles                           |  218541411
  IPC                              |       0.46
  Time (ns)                        |   72847137
Branch predictor stats             |           
  num correct                      |   10548859
  num incorrect                    |    2724376
  misprediction rate               |     20.53%
  mpki                             |      27.24
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   12176731
    num misses                     |         18
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   45335671
    num misses                     |     533901
    miss rate                      |      1.18%
    mpki                           |       5.34
  L2 TLB                           |           
    num accesses                   |     533919
    num misses                     |     292195
    miss rate                      |     54.73%
    mpki                           |       2.92
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   12176731
    num cache misses               |      86252
    miss rate                      |      0.71%
    mpki                           |       0.86
  Cache L1-D                       |           
    num cache accesses             |   45335671
    num cache misses               |    1736883
    miss rate                      |      3.83%
    mpki                           |      17.37
  Cache L2                         |           
    num cache accesses             |    2453962
    num cache misses               |    1741452
    miss rate                      |     70.96%
    mpki                           |      17.41
  Cache L3                         |           
    num cache accesses             |    2372866
    num cache misses               |    1704764
    miss rate                      |     71.84%
    mpki                           |      17.05
DRAM summary                       |           
  num dram accesses                |    3393144
  average dram access latency (ns) |      50.74
  average dram queueing delay      |       0.73
Coherency Traffic                  |           
  num loads from dram              |    1158451
  num loads from dram cache        |          0
  num loads from remote cache      |          0
