                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   770954364 |   249999981 |   400894073 |  2545135163 |  1622539526 |   839012996 |  5931953974 |  1345244011
  Cycles                             |  2918453400 |  2918450936 |  2918453686 |  2918453420 |  2918453843 |  2918453400 |  2918453400 |  2918453400
  IPC                                |        0.26 |        0.09 |        0.14 |        0.87 |        0.56 |        0.29 |        2.03 |        0.46
  Time (ns)                          |   972817800 |   972816979 |   972817896 |   972817807 |   972817948 |   972817800 |   972817800 |   972817800
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7000724 |    58565837 |    66208804 |   388922858 |     2113016 |    51731204 |   273161088 |   108225924
  num incorrect                      |       46898 |     6500447 |     4159882 |    99811121 |       35810 |     1678714 |     2271083 |    18175817
  misprediction rate                 |       0.67% |       9.99% |       5.91% |      20.42% |       1.67% |       3.14% |       0.82% |      14.38%
  mpki                               |        0.06 |       26.00 |       10.38 |       39.22 |        0.02 |        2.00 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    68138115 |    21135842 |    67017808 |   331163671 |   185857385 |    79772198 |   453814833 |   197100311
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   210020179 |    86633855 |   122792768 |   856664997 |  1213732707 |   277051318 |  3413450956 |   645056253
    num misses                       |      375522 |     1331653 |      145803 |     3795587 |    43837217 |     2363124 |      460231 |     3601398
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.61% |       0.85% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       27.02 |        2.82 |        0.08 |        2.68
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      375525 |     1349094 |      145807 |     3795606 |    43837223 |     2363146 |      460274 |     3601463
    num misses                       |      375242 |     1140458 |      145807 |      794260 |    31337297 |      216093 |      132495 |       22998
    miss rate                        |      99.92% |      84.54% |     100.00% |      20.93% |      71.49% |       9.14% |      28.79% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.31 |        0.26 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    68138115 |    21135842 |    67017808 |   331163671 |   185857385 |    79772198 |   453814833 |   197100311
    num cache misses                 |      148191 |      371858 |        5203 |     1190238 |      508108 |      297136 |      217651 |     6593711
    miss rate                        |       0.22% |       1.76% |       0.01% |       0.36% |       0.27% |       0.37% |       0.05% |       3.35%
    mpki                             |        0.19 |        1.49 |        0.01 |        0.47 |        0.31 |        0.35 |        0.04 |        4.90
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   210020179 |    86633855 |   122792768 |   856664997 |  1213732707 |   277051318 |  3413450956 |   645056253
    num cache misses                 |    39622339 |     7444327 |     9330534 |     3257961 |    13337424 |    16791030 |    30762728 |    22304425
    miss rate                        |      18.87% |       8.59% |       7.60% |       0.38% |       1.10% |       6.06% |       0.90% |       3.46%
    mpki                             |       51.39 |       29.78 |       23.27 |        1.28 |        8.22 |       20.01 |        5.19 |       16.58
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    39774655 |     7842300 |    12562554 |     5069771 |    13900557 |    18628119 |    30983788 |    29109400
    num cache misses                 |    24438082 |     7445397 |     9335737 |     1310585 |     9710244 |     6429717 |    16579437 |     4334395
    miss rate                        |      61.44% |      94.94% |      74.31% |      25.85% |      69.86% |      34.52% |      53.51% |      14.89%
    mpki                             |       31.70 |       29.78 |       23.29 |        0.51 |        5.98 |        7.66 |        2.79 |        3.22
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    24442207 |     7472379 |    12562554 |     1941945 |     9765520 |     8045769 |    16583260 |     4576076
    num cache misses                 |    24223774 |     6747038 |     9318311 |     1073447 |     9569907 |     6365297 |     1008075 |     4242329
    miss rate                        |      99.11% |      90.29% |      74.18% |      55.28% |      98.00% |      79.11% |       6.08% |      92.71%
    mpki                             |       31.42 |       26.99 |       23.24 |        0.42 |        5.90 |        7.59 |        0.17 |        3.15
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    91213704 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      243.29 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      133.28 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
