                                     | Core 0     
  Instructions                       |   249999886
  Cycles                             |  1204682634
  IPC                                |        0.21
  Time (ns)                          |   401560878
Branch predictor stats               |            
  num correct                        |    34399075
  num incorrect                      |     4720676
  misprediction rate                 |      12.07%
  mpki                               |       18.88
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    43801034
    num misses                       |          84
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   116504258
    num misses                       |     4541721
    miss rate                        |       3.90%
    mpki                             |       18.17
  L2 TLB                             |            
    num accesses                     |     4541805
    num misses                       |     1361657
    miss rate                        |      29.98%
    mpki                             |        5.45
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    43801034
    num cache misses                 |      965192
    miss rate                        |       2.20%
    mpki                             |        3.86
  Cache L1-D                         |            
    num cache accesses               |   116504258
    num cache misses                 |     6678628
    miss rate                        |       5.73%
    mpki                             |       26.71
  Cache L2                           |            
    num cache accesses               |     9158793
    num cache misses                 |     6563524
    miss rate                        |      71.66%
    mpki                             |       26.25
  Cache L3                           |            
    num cache accesses               |     8081203
    num cache misses                 |     5064518
    miss rate                        |      62.67%
    mpki                             |       20.26
DRAM summary                         |            
  num dram accesses                  |     7224270
  average dram access latency (ns)   |      145.21
  average dram queueing delay        |       60.17
  average dram bandwidth utilization |      72.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
