                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   801284297 |   249999981 |   406070437 |  2584447992 |  1761382785 |   969105018 |  4928438112 |  2692534640
  Cycles                             |  2950550293 |  2950547152 |  2950550646 |  2950550111 |  2950550565 |  2950550232 |  2950549806 |  2950550394
  IPC                                |        0.27 |        0.08 |        0.14 |        0.88 |        0.60 |        0.33 |        1.67 |        0.91
  Time (ns)                          |   983516764 |   983515717 |   983516882 |   983516704 |   983516855 |   983516744 |   983516602 |   983516798
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7272000 |    58565837 |    67062881 |   395041867 |     2296216 |    59722389 |   226947300 |   216536597
  num incorrect                      |       48708 |     6500447 |     4233566 |   101333290 |       38914 |     2091992 |     1886456 |    36361904
  misprediction rate                 |       0.67% |       9.99% |       5.94% |      20.41% |       1.67% |       3.38% |       0.82% |      14.38%
  mpki                               |        0.06 |       26.00 |       10.43 |       39.21 |        0.02 |        2.16 |        0.38 |       13.50
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    70818426 |    21135842 |    67945568 |   336274957 |   201754584 |    92256004 |   377040150 |   394452561
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   218225542 |    86633855 |   124221250 |   869834221 |  1317617351 |   323108305 |  2835993497 |  1290837884
    num misses                       |      389943 |     1331664 |      147615 |     3850133 |    47540061 |     2636667 |      382284 |     7211193
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.61% |       0.82% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       26.99 |        2.72 |        0.08 |        2.68
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      389946 |     1349105 |      147619 |     3850152 |    47540067 |     2636689 |      382327 |     7211258
    num misses                       |      389653 |     1140469 |      147619 |      805880 |    33947900 |      258862 |      110310 |       45403
    miss rate                        |      99.92% |      84.54% |     100.00% |      20.93% |      71.41% |       9.82% |      28.85% |       0.63%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.27 |        0.27 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    70818426 |    21135842 |    67945568 |   336274957 |   201754584 |    92256004 |   377040150 |   394452561
    num cache misses                 |       70456 |      347188 |        2557 |     1134500 |      240502 |      147208 |      139971 |    11982336
    miss rate                        |       0.10% |       1.64% |       0.00% |       0.34% |       0.12% |       0.16% |       0.04% |       3.04%
    mpki                             |        0.09 |        1.39 |        0.01 |        0.44 |        0.14 |        0.15 |        0.03 |        4.45
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   218225542 |    86633855 |   124221250 |   869834221 |  1317617351 |   323108305 |  2835993497 |  1290837884
    num cache misses                 |    41133758 |     7412045 |     9445334 |     3250237 |    14410056 |    18669205 |    25489637 |    42819077
    miss rate                        |      18.85% |       8.56% |       7.60% |       0.37% |       1.09% |       5.78% |       0.90% |       3.32%
    mpki                             |       51.33 |       29.65 |       23.26 |        1.26 |        8.18 |       19.26 |        5.17 |       15.90
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    41205995 |     7779065 |    12709425 |     5086394 |    14675104 |    20260324 |    25637989 |    54892978
    num cache misses                 |    25034733 |     7338494 |     9447891 |     1154872 |     9795353 |     5707068 |    12352754 |     1999644
    miss rate                        |      60.76% |      94.34% |      74.34% |      22.71% |      66.75% |      28.17% |      48.18% |       3.64%
    mpki                             |       31.24 |       29.35 |       23.27 |        0.45 |        5.56 |        5.89 |        2.51 |        0.74
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    25036514 |     7359259 |    12709425 |     1869529 |     9820628 |     7182065 |    12366175 |     2107087
    num cache misses                 |    24884836 |     6931861 |     9447245 |     1094882 |     9669002 |     5676486 |     2274725 |     1997234
    miss rate                        |      99.39% |      94.19% |      74.33% |      58.56% |      98.46% |      79.04% |      18.39% |      94.79%
    mpki                             |       31.06 |       27.73 |       23.27 |        0.42 |        5.49 |        5.86 |        0.46 |        0.74
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    92157521 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      243.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      133.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
