                                     | Core 0     
  Instructions                       |   249999981
  Cycles                             |  1120662980
  IPC                                |        0.22
  Time (ns)                          |   373554327
Branch predictor stats               |            
  num correct                        |    58565837
  num incorrect                      |     6500447
  misprediction rate                 |       9.99%
  mpki                               |       26.00
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    21135842
    num misses                       |       17441
    miss rate                        |       0.08%
    mpki                             |        0.07
  D-TLB                              |            
    num accesses                     |    86633855
    num misses                       |     1331677
    miss rate                        |       1.54%
    mpki                             |        5.33
  L2 TLB                             |            
    num accesses                     |     1349118
    num misses                       |     1140451
    miss rate                        |      84.53%
    mpki                             |        4.56
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    21135842
    num cache misses                 |      401877
    miss rate                        |       1.90%
    mpki                             |        1.61
  Cache L1-D                         |            
    num cache accesses               |    86633855
    num cache misses                 |     7447639
    miss rate                        |       8.60%
    mpki                             |       29.79
  Cache L2                           |            
    num cache accesses               |     7853182
    num cache misses                 |     7522897
    miss rate                        |      95.79%
    mpki                             |       30.09
  Cache L3                           |            
    num cache accesses               |     7526632
    num cache misses                 |     5132472
    miss rate                        |      68.19%
    mpki                             |       20.53
DRAM summary                         |            
  num dram accesses                  |     5153547
  average dram access latency (ns)   |      110.87
  average dram queueing delay        |        0.86
  average dram bandwidth utilization |      13.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
