                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3007766651 |   858427688 |  6247076470 |  3265865132 |  3769688980 |   492387272 |  2363741139 |   249999989
  Cycles                             |  3298819412 |  3298819838 |  3298819290 |  3298819325 |  3298819235 |  3298820064 |  3298819339 |  3298815609
  IPC                                |        0.91 |        0.26 |        1.89 |        0.99 |        1.14 |        0.15 |        0.72 |        0.08
  Time (ns)                          |  1099606471 |  1099606613 |  1099606430 |  1099606442 |  1099606412 |  1099606688 |  1099606446 |  1099605203
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   459757220 |   118057917 |  1152900652 |   178213166 |   568477206 |   115314102 |   359921646 |    43244780
  num incorrect                      |   117862385 |    16218580 |    78649253 |   123164222 |    63932587 |    12795822 |    77270100 |    11689069
  misprediction rate                 |      20.40% |      12.08% |       6.39% |      40.87% |      10.11% |       9.99% |      17.67% |      21.28%
  mpki                               |       39.19 |       18.89 |       12.59 |       37.71 |       16.96 |       25.99 |       32.69 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   391307835 |   150429069 |  1024362704 |   267502554 |   603596586 |    41647706 |   326010977 |    23761816
    num misses                       |          19 |         104 |          39 |          52 |       21931 |       34659 |         445 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1012510099 |   399990377 |  2035908754 |   965196474 |  1518479619 |   170672521 |   917183441 |    88558906
    num misses                       |     4484556 |    15590469 |          23 |       58649 |     8485787 |     2641528 |     4870655 |    21160330
    miss rate                        |       0.44% |       3.90% |       0.00% |       0.01% |       0.56% |       1.55% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.16 |        0.00 |        0.02 |        2.25 |        5.36 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4484575 |    15590573 |          62 |       58701 |     8507718 |     2676187 |     4871100 |    21160333
    num misses                       |      938930 |     4673650 |          62 |       52478 |     1210024 |     2261384 |      464946 |    10898439
    miss rate                        |      20.94% |      29.98% |     100.00% |      89.40% |      14.22% |      84.50% |       9.54% |      51.50%
    mpki                             |        0.31 |        5.44 |        0.00 |        0.02 |        0.32 |        4.59 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   391307835 |   150429069 |  1024362704 |   267502554 |   603596586 |    41647706 |   326010977 |    23761816
    num cache misses                 |     1535915 |     1571522 |     9736791 |       52397 |    10178549 |      688500 |    18432079 |       29674
    miss rate                        |       0.39% |       1.04% |       0.95% |       0.02% |       1.69% |       1.65% |       5.65% |       0.12%
    mpki                             |        0.51 |        1.83 |        1.56 |        0.02 |        2.70 |        1.40 |        7.80 |        0.12
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1012510099 |   399990377 |  2035908754 |   965196474 |  1518479619 |   170672521 |   917183441 |    88558906
    num cache misses                 |     4095312 |    22161928 |      162231 |     3592796 |    13506524 |    14598670 |    20752096 |    28762419
    miss rate                        |       0.40% |       5.54% |       0.01% |       0.37% |       0.89% |       8.55% |       2.26% |      32.48%
    mpki                             |        1.36 |       25.82 |        0.03 |        1.10 |        3.58 |       29.65 |        8.78 |      115.05
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6527507 |    28021378 |     9924858 |     3728968 |    24120286 |    15328047 |    40039882 |    32378095
    num cache misses                 |     1859179 |    16730512 |      399283 |     3496755 |     4630459 |    14398184 |     5793823 |    18906703
    miss rate                        |      28.48% |      59.71% |       4.02% |      93.77% |      19.20% |      93.93% |      14.47% |      58.39%
    mpki                             |        0.62 |       19.49 |        0.06 |        1.07 |        1.23 |       29.24 |        2.45 |       75.63
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2773568 |    21047430 |      425121 |     3582948 |     5075830 |    14440998 |     6667017 |    22589367
    num cache misses                 |     1849893 |    14476077 |      397243 |     3496529 |     4056746 |    14099651 |     4554593 |    16883965
    miss rate                        |      66.70% |      68.78% |      93.44% |      97.59% |      79.92% |      97.64% |      68.32% |      74.74%
    mpki                             |        0.62 |       16.86 |        0.06 |        1.07 |        1.08 |       28.64 |        1.93 |       67.54
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    76147456 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      127.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       17.04 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
