                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  264214125 |  341821559 |  507823052 |  558408616 |  365574837 |  294971458 |  629416508 |  249999909
  Cycles                             |  356302191 |  356302099 |  356302116 |  356302108 |  356302105 |  356302101 |  356302099 |  356301088
  IPC                                |       0.74 |       0.96 |       1.43 |       1.57 |       1.03 |       0.83 |       1.77 |       0.70
  Time (ns)                          |  118767397 |  118767367 |  118767372 |  118767370 |  118767369 |  118767367 |  118767367 |  118767030
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   16053630 |   52159054 |   40829859 |   31521551 |   16594779 |   44604754 |   42072267 |   13325983
  num incorrect                      |    9660131 |   13502381 |    6862299 |    5352520 |   15050769 |    9773505 |    7180521 |     311809
  misprediction rate                 |     37.57% |     20.56% |     14.39% |     14.52% |     47.56% |     17.97% |     14.58% |      2.29%
  mpki                               |      36.56 |      39.50 |      13.51 |       9.59 |      41.17 |      33.13 |      11.41 |       1.25
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   31517653 |   44523415 |   74386640 |   62445773 |   27755142 |   40984500 |   76263636 |   24892730
    num misses                       |         10 |         19 |         65 |         56 |         52 |        140 |         18 |         47
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  121516452 |  114874799 |  243449637 |  263151901 |  104697138 |  114797425 |  265014359 |   86640595
    num misses                       |     834788 |     509599 |    1359321 |     172545 |       4853 |     618880 |    1851391 |     132083
    miss rate                        |      0.69% |      0.44% |      0.56% |      0.07% |      0.00% |      0.54% |      0.70% |      0.15%
    mpki                             |       3.16 |       1.49 |       2.68 |       0.31 |       0.01 |       2.10 |       2.94 |       0.53
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     834798 |     509618 |    1359386 |     172601 |       4905 |     619020 |    1851409 |     132130
    num misses                       |     662978 |     106131 |       8803 |      27043 |       4287 |      54536 |      13907 |      40804
    miss rate                        |     79.42% |     20.83% |      0.65% |     15.67% |     87.40% |      8.81% |      0.75% |     30.88%
    mpki                             |       2.51 |       0.31 |       0.02 |       0.05 |       0.01 |       0.18 |       0.02 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   31517653 |   44523415 |   74386640 |   62445773 |   27755142 |   40984500 |   76263636 |   24892730
    num cache misses                 |      17856 |     225823 |    2470675 |     187099 |       7042 |    2423786 |     659635 |      24962
    miss rate                        |      0.06% |      0.51% |      3.32% |      0.30% |      0.03% |      5.91% |      0.86% |      0.10%
    mpki                             |       0.07 |       0.66 |       4.87 |       0.34 |       0.02 |       8.22 |       1.05 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  121516452 |  114874799 |  243449637 |  263151901 |  104697138 |  114797425 |  265014359 |   86640595
    num cache misses                 |    1883693 |     471669 |    8211529 |    1624935 |     289135 |    2416871 |    1261283 |    3041145
    miss rate                        |      1.55% |      0.41% |      3.37% |      0.62% |      0.28% |      2.11% |      0.48% |      3.51%
    mpki                             |       7.13 |       1.38 |      16.17 |       2.91 |       0.79 |       8.19 |       2.00 |      12.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2049229 |     790770 |   10684750 |    1813727 |     306554 |    4930432 |    1929704 |    3379043
    num cache misses                 |    1771279 |     320244 |    1665912 |    1276109 |     278159 |    2334934 |     199881 |    2466346
    miss rate                        |     86.44% |     40.50% |     15.59% |     70.36% |     90.74% |     47.36% |     10.36% |     72.99%
    mpki                             |       6.70 |       0.94 |       3.28 |       2.29 |       0.76 |       7.92 |       0.32 |       9.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1939381 |     415145 |    1669056 |    1277945 |     288738 |    2424788 |     208796 |    2784655
    num cache misses                 |     471376 |     141925 |      65362 |     328001 |     275680 |     400834 |      55029 |    1909206
    miss rate                        |     24.31% |     34.19% |      3.92% |     25.67% |     95.48% |     16.53% |     26.36% |     68.56%
    mpki                             |       1.78 |       0.42 |       0.13 |       0.59 |       0.75 |       1.36 |       0.09 |       7.64
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    5350574 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.71 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     45.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
