                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1731430668 |   972303708 |  2042488770 |  1045436501 |  3520950933 |   422643196 |  5200125843 |  2989987709 |  7260787120 |   400054397 |  1116291337 |  3922240279 |   249999981 |  1594559981 |  1673996887 |  6382459908
  Cycles                             |  4053679356 |  4053679531 |  4053679357 |  4053679482 |  4053679480 |  4053680693 |  4053679356 |  4053679356 |  4053679358 |  4053679775 |  4053679373 |  4053679443 |  4053672414 |  4053679356 |  4053679356 |  4053679369
  IPC                                |        0.43 |        0.24 |        0.50 |        0.26 |        0.87 |        0.10 |        1.28 |        0.74 |        1.79 |        0.10 |        0.28 |        0.97 |        0.06 |        0.39 |        0.41 |        1.57
  Time (ns)                          |  1351226452 |  1351226510 |  1351226452 |  1351226494 |  1351226493 |  1351226898 |  1351226452 |  1351226452 |  1351226453 |  1351226592 |  1351226458 |  1351226481 |  1351224138 |  1351226452 |  1351226452 |  1351226456
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   105251600 |    31575087 |     2656372 |    64673737 |   200381394 |    58132036 |   229309317 |    54963479 |  1339981624 |    66069833 |    88499845 |   180609086 |    58565837 |    36466497 |   254163217 |   425391888
  num incorrect                      |    63337793 |    14884069 |       45018 |     2163460 |    33874160 |     7999387 |    13020955 |     8309836 |    91411975 |     4148309 |     7236478 |     1500717 |     6500447 |      648401 |    55094992 |    72979543
  misprediction rate                 |      37.57% |      32.04% |       1.67% |       3.24% |      14.46% |      12.10% |       5.37% |      13.13% |       6.39% |       5.91% |       7.56% |       0.82% |       9.99% |       1.75% |      17.82% |      14.64%
  mpki                               |       36.58 |       15.31 |        0.02 |        2.07 |        9.62 |       18.93 |        2.50 |        2.78 |       12.59 |       10.37 |        6.48 |        0.38 |       26.00 |        0.41 |       32.91 |       11.43
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   206649682 |    77229399 |   233971627 |    99312600 |   395109832 |    74025006 |   495474787 |   284331433 |  1190587397 |    66867264 |    93796243 |   300059849 |    21135842 |   143259495 |   231192197 |   774391676
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |         103 |          39 |           4 |          42 |          43 |       17441 |           4 |         350 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   795977624 |   425592795 |  1527838415 |   345793870 |  1655228409 |   196958836 |  1582130004 |  1520548047 |  2366278984 |   122561165 |   307268099 |  2256994633 |    86633855 |   626757042 |   649997357 |  2691080897
    num misses                       |     5471984 |      438743 |    55050954 |     2835687 |     1069665 |     7677322 |      505806 |     3363071 |          23 |      145509 |     1501553 |      303843 |     1331682 |      326603 |     3434087 |    19110478
    miss rate                        |       0.69% |       0.10% |       3.60% |       0.82% |       0.06% |       3.90% |       0.03% |       0.22% |       0.00% |       0.12% |       0.49% |       0.01% |       1.54% |       0.05% |       0.53% |       0.71%
    mpki                             |        3.16 |        0.45 |       26.95 |        2.71 |        0.30 |       18.17 |        0.10 |        1.12 |        0.00 |        0.36 |        1.35 |        0.08 |        5.33 |        0.20 |        2.05 |        2.99
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     5471994 |      438746 |    55050960 |     2835709 |     1069721 |     7677414 |      505814 |     3363174 |          62 |      145513 |     1501595 |      303886 |     1349123 |      326607 |     3434437 |    19110496
    num misses                       |     4351041 |      297376 |    39300571 |      272120 |      168752 |     2291412 |       12605 |       45822 |          62 |      145513 |      469006 |       87962 |     1140462 |      174977 |      316603 |      145780
    miss rate                        |      79.51% |      67.78% |      71.39% |       9.60% |      15.78% |      29.85% |       2.49% |       1.36% |     100.00% |     100.00% |      31.23% |      28.95% |      84.53% |      53.57% |       9.22% |       0.76%
    mpki                             |        2.51 |        0.31 |       19.24 |        0.26 |        0.05 |        5.42 |        0.00 |        0.02 |        0.00 |        0.36 |        0.42 |        0.02 |        4.56 |        0.11 |        0.19 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   206649682 |    77229399 |   233971627 |    99312600 |   395109832 |    74025006 |   495474787 |   284331433 |  1190587397 |    66867264 |    93796243 |   300059849 |    21135842 |   143259495 |   231192197 |   774391676
    num cache misses                 |      114109 |      110863 |      985543 |      648006 |     1157722 |     1621987 |       98158 |      517090 |    11326360 |       11242 |      178030 |      270018 |      404264 |      197251 |    13611381 |     6800726
    miss rate                        |       0.06% |       0.14% |       0.42% |       0.65% |       0.29% |       2.19% |       0.02% |       0.18% |       0.95% |       0.02% |       0.19% |       0.09% |       1.91% |       0.14% |       5.89% |       0.88%
    mpki                             |        0.07 |        0.11 |        0.48 |        0.62 |        0.33 |        3.84 |        0.02 |        0.17 |        1.56 |        0.03 |        0.16 |        0.07 |        1.62 |        0.12 |        8.13 |        1.07
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   795977624 |   425592795 |  1527838415 |   345793870 |  1655228409 |   196958836 |  1582130004 |  1520548047 |  2366278984 |   122561165 |   307268099 |  2256994633 |    86633855 |   626757042 |   649997357 |  2691080897
    num cache misses                 |    12293065 |    21532387 |    16801728 |    20182532 |    10173155 |    11247247 |    42040809 |    23282948 |      125608 |     9315396 |    16441515 |    21224119 |     7452441 |    16002963 |    14391018 |    12841724
    miss rate                        |       1.54% |       5.06% |       1.10% |       5.84% |       0.61% |       5.71% |       2.66% |       1.53% |       0.01% |       7.60% |       5.35% |       0.94% |       8.60% |       2.55% |       2.21% |       0.48%
    mpki                             |        7.10 |       22.15 |        8.23 |       19.31 |        2.89 |       26.61 |        8.08 |        7.79 |        0.02 |       23.29 |       14.73 |        5.41 |       29.81 |       10.04 |        8.60 |        2.01
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    13484585 |    23173641 |    17788665 |    22294735 |    11344030 |    15165479 |    42321840 |    24204589 |    11468676 |    12551262 |    16696869 |    21511919 |     7872578 |    16202761 |    28624438 |    19743256
    num cache misses                 |    11551059 |    19268581 |    12437083 |     9749465 |     7993479 |    11062042 |     1600106 |    12495400 |      381472 |     9326638 |    15408842 |    14858484 |     7528945 |    11441957 |    14078741 |     2221484
    miss rate                        |      85.66% |      83.15% |      69.92% |      43.73% |      70.46% |      72.94% |       3.78% |      51.62% |       3.33% |      74.31% |      92.29% |      69.07% |      95.64% |      70.62% |      49.18% |      11.25%
