                                   | Core 0    
  Instructions                     |   99999973
  Cycles                           |   73789931
  IPC                              |       1.36
  Time (ns)                        |   24596644
Branch predictor stats             |           
  num correct                      |   11852347
  num incorrect                    |    1577599
  misprediction rate               |     11.75%
  mpki                             |      15.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11942275
    num misses                     |         10
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   43632830
    num misses                     |     373076
    miss rate                      |      0.86%
    mpki                           |       3.73
  L2 TLB                           |           
    num accesses                   |     373086
    num misses                     |      17320
    miss rate                      |      4.64%
    mpki                           |       0.17
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11942275
    num cache misses               |       9830
    miss rate                      |      0.08%
    mpki                           |       0.10
  Cache L1-D                       |           
    num cache accesses             |   43632830
    num cache misses               |    1714855
    miss rate                      |      3.93%
    mpki                           |      17.15
  Cache L2                         |           
    num cache accesses             |    1732174
    num cache misses               |    1205359
    miss rate                      |     69.59%
    mpki                           |      12.05
  Cache L3                         |           
    num cache accesses             |    1212890
    num cache misses               |      59619
    miss rate                      |      4.92%
    mpki                           |       0.60
DRAM summary                       |           
  num dram accesses                |      59632
  average dram access latency (ns) |     130.10
  average dram queueing delay      |      45.06
Coherency Traffic                  |           
  num loads from dram              |      49842
  num loads from dram cache        |          0
  num loads from remote cache      |          0
