                                     | Core 0     
  Instructions                       |   249999980
  Cycles                             |  1744235790
  IPC                                |        0.14
  Time (ns)                          |   581411930
Branch predictor stats               |            
  num correct                        |    42338506
  num incorrect                      |     3913322
  misprediction rate                 |       8.46%
  mpki                               |       15.65
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    28960848
    num misses                       |          42
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    86565665
    num misses                       |     1461822
    miss rate                        |       1.69%
    mpki                             |        5.85
  L2 TLB                             |            
    num accesses                     |     1461864
    num misses                       |      397410
    miss rate                        |      27.19%
    mpki                             |        1.59
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    28960848
    num cache misses                 |       35200
    miss rate                        |       0.12%
    mpki                             |        0.14
  Cache L1-D                         |            
    num cache accesses               |    86565665
    num cache misses                 |    10156508
    miss rate                        |      11.73%
    mpki                             |       40.63
  Cache L2                           |            
    num cache accesses               |    11920759
    num cache misses                 |     9022516
    miss rate                        |      75.69%
    mpki                             |       36.09
  Cache L3                           |            
    num cache accesses               |    10752058
    num cache misses                 |     8172117
    miss rate                        |      76.01%
    mpki                             |       32.69
DRAM summary                         |            
  num dram accesses                  |    11284324
  average dram access latency (ns)   |      276.82
  average dram queueing delay        |      191.78
  average dram bandwidth utilization |      77.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
