                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2827549879 |   859510899 |  5789351001 |  3013956193 |  3334097688 |   460693806 |  2040654837 |   249999989
  Cycles                             |  3043089021 |  3043089120 |  3043089031 |  3043089032 |  3043090765 |  3043089801 |  3043089025 |  3043085721
  IPC                                |        0.93 |        0.28 |        1.90 |        0.99 |        1.10 |        0.15 |        0.67 |        0.08
  Time (ns)                          |  1014363007 |  1014363040 |  1014363011 |  1014363011 |  1014363589 |  1014363267 |  1014363009 |  1014361907
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   432229268 |   118226122 |  1068428446 |   164487103 |   502611579 |   107923160 |   311147172 |    43244780
  num incorrect                      |   110845479 |    16238526 |    72887405 |   113656411 |    56527132 |    11971197 |    66478675 |    11689069
  misprediction rate                 |      20.41% |      12.08% |       6.39% |      40.86% |      10.11% |       9.98% |      17.60% |      21.28%
  mpki                               |       39.20 |       18.89 |       12.59 |       37.71 |       16.95 |       25.99 |       32.58 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   367913838 |   150625645 |   949310363 |   246882331 |   533901796 |    38952316 |   281262960 |    23761816
    num misses                       |          19 |         104 |          39 |          52 |       19882 |       32130 |         406 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   951663966 |   400504588 |  1886745416 |   890767036 |  1343863263 |   159663671 |   791615472 |    88558906
    num misses                       |     4211922 |    15616815 |          23 |       54140 |     7559696 |     2472408 |     4210463 |    21160208
    miss rate                        |       0.44% |       3.90% |       0.00% |       0.01% |       0.56% |       1.55% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.17 |        0.00 |        0.02 |        2.27 |        5.37 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4211941 |    15616919 |          62 |       54192 |     7579578 |     2504538 |     4210869 |    21160211
    num misses                       |      881616 |     4681133 |          62 |       48454 |     1081500 |     2119923 |      408832 |    10898112
    miss rate                        |      20.93% |      29.97% |     100.00% |      89.41% |      14.27% |      84.64% |       9.71% |      51.50%
    mpki                             |        0.31 |        5.45 |        0.00 |        0.02 |        0.32 |        4.60 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   367913838 |   150625645 |   949310363 |   246882331 |   533901796 |    38952316 |   281262960 |    23761816
    num cache misses                 |     1381541 |     1776828 |     9033627 |       70640 |     9153289 |      638481 |    16014424 |       54343
    miss rate                        |       0.38% |       1.18% |       0.95% |       0.03% |       1.71% |       1.64% |       5.69% |       0.23%
    mpki                             |        0.49 |        2.07 |        1.56 |        0.02 |        2.75 |        1.39 |        7.85 |        0.22
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   951663966 |   400504588 |  1886745416 |   890767036 |  1343863263 |   159663671 |   791615472 |    88558906
    num cache misses                 |     3678370 |    22181115 |       99911 |     3377138 |    12062338 |    13658009 |    18332456 |    28741984
    miss rate                        |       0.39% |       5.54% |       0.01% |       0.38% |       0.90% |       8.55% |       2.32% |      32.46%
    mpki                             |        1.30 |       25.81 |        0.02 |        1.12 |        3.62 |       29.65 |        8.98 |      114.97
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5877003 |    27735139 |     9148546 |     3571331 |    21670037 |    14328693 |    35145025 |    32104775
    num cache misses                 |     1612667 |    18163102 |      309812 |     3292707 |     4761423 |    13520273 |    13364908 |    20196851
    miss rate                        |      27.44% |      65.49% |       3.39% |      92.20% |      21.97% |      94.36% |      38.03% |      62.91%
    mpki                             |        0.57 |       21.13 |        0.05 |        1.09 |        1.43 |       29.35 |        6.55 |       80.79
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2448385 |    21956298 |      324820 |     3418848 |     5222596 |    13554097 |    14168680 |    23572970
    num cache misses                 |     1558093 |    13001226 |      309768 |     3288444 |     4099931 |    12978397 |     4737583 |    15218499
    miss rate                        |      63.64% |      59.21% |      95.37% |      96.19% |      78.50% |      95.75% |      33.44% |      64.56%
    mpki                             |        0.55 |       15.13 |        0.05 |        1.09 |        1.23 |       28.17 |        2.32 |       60.87
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    70193853 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      127.31 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       17.30 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
