                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5116866599 |  3247215169 |  3247775026 |  4673672905 |   967473387 |  2463941632 |  5375419060 |   249999989
  Cycles                             |  4220182814 |  4220182263 |  4220182332 |  4220182261 |  4220182390 |  4220182350 |  4220182242 |  4220178713
  IPC                                |        1.21 |        0.77 |        0.77 |        1.11 |        0.23 |        0.58 |        1.27 |        0.06
  Time (ns)                          |  1406727605 |  1406727421 |  1406727444 |  1406727421 |  1406727464 |  1406727450 |  1406727414 |  1406726238
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   454008439 |   352190256 |   418516786 |   266776072 |   163810204 |   149779277 |   247535794 |    43244780
  num incorrect                      |    75873620 |    53748034 |    97541902 |    45166136 |    15105558 |    90130311 |     2058453 |    11689069
  misprediction rate                 |      14.32% |      13.24% |      18.90% |      14.48% |       8.44% |      37.57% |       0.82% |      21.28%
  mpki                               |       14.83 |       16.55 |       30.03 |        9.66 |       15.61 |       36.58 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   581236798 |   382538463 |   455452229 |   525142656 |   112244230 |   294073510 |   411239485 |    23761816
    num misses                       |        1779 |          10 |         238 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2139657177 |  1458881047 |  1268079572 |  2195115888 |   335740733 |  1132759260 |  3093198994 |    88558906
    num misses                       |     1129222 |    14597786 |     2286184 |     1415420 |     5720988 |     7786305 |      416899 |    21160325
    miss rate                        |       0.05% |       1.00% |       0.18% |       0.06% |       1.70% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.50 |        0.70 |        0.30 |        5.91 |        3.16 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1131001 |    14597796 |     2286422 |     1415476 |     5721030 |     7786315 |      416942 |    21160328
    num misses                       |       35687 |     1287640 |      362842 |      223178 |     1551519 |     6189932 |      120228 |    10898570
    miss rate                        |       3.16% |       8.82% |      15.87% |      15.77% |      27.12% |      79.50% |      28.84% |      51.50%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.60 |        2.51 |        0.02 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   581236798 |   382538463 |   455452229 |   525142656 |   112244230 |   294073510 |   411239485 |    23761816
    num cache misses                 |     7184037 |       70043 |    13244420 |      875685 |       57379 |       66749 |      200106 |       55124
    miss rate                        |       1.24% |       0.02% |       2.91% |       0.17% |       0.05% |       0.02% |       0.05% |       0.23%
    mpki                             |        1.40 |        0.02 |        4.08 |        0.19 |        0.06 |        0.03 |        0.04 |        0.22
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2139657177 |  1458881047 |  1268079572 |  2195115888 |   335740733 |  1132759260 |  3093198994 |    88558906
    num cache misses                 |    19578443 |    46717642 |    15846228 |    13172670 |    39159607 |    17463906 |    27944859 |    28767611
    miss rate                        |       0.92% |       3.20% |       1.25% |       0.60% |      11.66% |       1.54% |       0.90% |      32.48%
    mpki                             |        3.83 |       14.39 |        4.88 |        2.82 |       40.48 |        7.09 |        5.20 |      115.07
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    26949709 |    47323870 |    30220818 |    14085773 |    42816686 |    19194728 |    28199303 |    32556861
    num cache misses                 |     3464634 |    18638671 |     5655271 |     7439423 |    29153963 |    11840066 |    15409204 |    20348182
    miss rate                        |      12.86% |      39.39% |      18.71% |      52.82% |      68.09% |      61.68% |      54.64% |      62.50%
    mpki                             |        0.68 |        5.74 |        1.74 |        1.59 |       30.13 |        4.81 |        2.87 |       81.39
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3687306 |    19321343 |     6823927 |     7520713 |    32763708 |    14023672 |    15472979 |    24155055
    num cache misses                 |     3134762 |     9812708 |     4418604 |     7004603 |    21329335 |     5691005 |    11200941 |    17371108
    miss rate                        |      85.01% |      50.79% |      64.75% |      93.14% |      65.10% |      40.58% |      72.39% |      71.92%
    mpki                             |        0.61 |        3.02 |        1.36 |        1.50 |       22.05 |        2.31 |        2.08 |       69.48
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   117680505 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      178.90 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       68.89 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      83.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
