                                   | Core 0    
  Instructions                     |   99999902
  Cycles                           |   62448838
  IPC                              |       1.60
  Time (ns)                        |   20816280
Branch predictor stats             |           
  num correct                      |    7907201
  num incorrect                    |    1549723
  misprediction rate               |     16.39%
  mpki                             |      15.50
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11064215
    num misses                     |        148
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   42442149
    num misses                     |      24220
    miss rate                      |      0.06%
    mpki                           |       0.24
  L2 TLB                           |           
    num accesses                   |      24368
    num misses                     |       1290
    miss rate                      |      5.29%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11064215
    num cache misses               |     156493
    miss rate                      |      1.41%
    mpki                           |       1.56
  Cache L1-D                       |           
    num cache accesses             |   42442149
    num cache misses               |     434484
    miss rate                      |      1.02%
    mpki                           |       4.34
  Cache L2                         |           
    num cache accesses             |     591608
    num cache misses               |      81113
    miss rate                      |     13.71%
    mpki                           |       0.81
  Cache L3                         |           
    num cache accesses             |      81755
    num cache misses               |      10054
    miss rate                      |     12.30%
    mpki                           |       0.10
DRAM summary                       |           
  num dram accesses                |      10054
  average dram access latency (ns) |      50.74
  average dram queueing delay      |       0.74
Coherency Traffic                  |           
  num loads from dram              |       4480
  num loads from dram cache        |          0
  num loads from remote cache      |          0
