                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2131344765 |  1068948372 |  2173274580 |  1147084810 |  3793254054 |   486569105 |  6072823877 |  3426150395 |  8263695359 |   454661572 |   689234496 |  3898692835 |   249999981 |  1721605759 |  1861385453 |  7351068949
  Cycles                             |  4486919196 |  4486918596 |  4486918754 |  4486918826 |  4486918574 |  4486918824 |  4486918603 |  4486918650 |  4486918632 |  4486919130 |  4486918601 |  4486918897 |  4486913517 |  4486919058 |  4486918702 |  4486918576
  IPC                                |        0.48 |        0.24 |        0.48 |        0.26 |        0.85 |        0.11 |        1.35 |        0.76 |        1.84 |        0.10 |        0.15 |        0.87 |        0.06 |        0.38 |        0.41 |        1.64
  Time (ns)                          |  1495639732 |  1495639532 |  1495639585 |  1495639609 |  1495639525 |  1495639608 |  1495639534 |  1495639550 |  1495639544 |  1495639710 |  1495639534 |  1495639632 |  1495637839 |  1495639686 |  1495639567 |  1495639525
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   129543111 |    35147203 |     2825670 |    70612514 |   215569397 |    66897799 |   267596119 |    63602461 |  1525068822 |    75474005 |    54678170 |   179528268 |    58565837 |    39577252 |   283250621 |   489777878
  num incorrect                      |    77953300 |    16547200 |       47886 |     2547810 |    36484661 |     9187286 |    15198967 |     9614939 |   104038376 |     4592000 |     4492610 |     1492212 |     6500447 |      705559 |    60935648 |    84085739
  misprediction rate                 |      37.57% |      32.01% |       1.67% |       3.48% |      14.47% |      12.08% |       5.37% |      13.13% |       6.39% |       5.74% |       7.59% |       0.82% |       9.99% |       1.75% |      17.70% |      14.65%
  mpki                               |       36.57 |       15.48 |        0.02 |        2.22 |        9.62 |       18.88 |        2.50 |        2.81 |       12.59 |       10.10 |        6.52 |        0.38 |       26.00 |        0.41 |       32.74 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   254354600 |    83486682 |   248955738 |   109103709 |   425418099 |    85223474 |   578779328 |   326172478 |  1355039095 |    76715139 |    57526147 |   298261825 |    21135842 |   153991577 |   256844807 |   891946491
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |         110 |          39 |           4 |          42 |          43 |       17441 |           4 |         369 |          18
