                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   614508280 |  2264393839 |   630299280 |   923959359 |  1934257796 |  2118718075 |   358260242 |  1209680928 |  1946077351 |  3958540703 |   563952283 |  3581208731 |   249999886 |  2158583181 |  2041325527 |  1631751762
  Cycles                             |  2762124488 |  2762124424 |  2762124922 |  2762124433 |  2762124544 |  2762124856 |  2762124695 |  2762124402 |  2762124467 |  2762124398 |  2762124759 |  2762124420 |  2762122294 |  2762124916 |  2762124420 |  2762124958
  IPC                                |        0.22 |        0.82 |        0.23 |        0.33 |        0.70 |        0.77 |        0.13 |        0.44 |        0.70 |        1.43 |        0.20 |        1.30 |        0.09 |        0.78 |        0.74 |        0.59
  Time (ns)                          |   920708163 |   920708142 |   920708308 |   920708145 |   920708182 |   920708286 |   920708232 |   920708134 |   920708156 |   920708133 |   920708253 |   920708140 |   920707432 |   920708306 |   920708140 |   920708320
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    32924582 |   291695528 |    38661573 |    20928745 |   291972865 |    97559140 |     6926280 |     1574392 |   101426193 |   349860540 |    18037576 |   288053419 |    34399075 |   123633159 |    39692311 |   176836973
  num incorrect                      |      770388 |    68073930 |     1369474 |      372021 |    32737107 |      809863 |     9587463 |       26682 |    75308072 |    58358933 |     8552705 |    48397775 |     4720676 |    20924602 |     6014638 |    26931071
  misprediction rate                 |       2.29% |      18.92% |       3.42% |       1.75% |      10.08% |       0.82% |      58.06% |       1.67% |      42.61% |      14.30% |      32.16% |      14.38% |      12.07% |      14.47% |      13.16% |      13.22%
  mpki                               |        1.25 |       30.06 |        2.17 |        0.40 |       16.92 |        0.38 |       26.76 |        0.02 |       38.70 |       14.74 |       15.17 |       13.51 |       18.88 |        9.69 |        2.95 |       16.50
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    61600021 |   317556072 |    60037678 |    82966606 |   309469615 |   162084234 |    39851152 |   138568363 |   155595492 |   449226544 |    43948664 |   524668541 |    43801034 |   242894761 |   194990256 |   191846099
    num misses                       |          47 |         194 |          22 |           4 |       11224 |          43 |          14 |           6 |          52 |        1392 |           3 |          65 |          84 |          56 |          90 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   214623235 |   884272379 |   210044945 |   364498182 |   777533775 |  1219185830 |   133324937 |   904886261 |   569605183 |  1655944618 |   249834092 |  1717243978 |   116504258 |  1012758302 |  1036457997 |   732703027
    num misses                       |      337921 |     1590311 |     1721839 |      188669 |     4236818 |      163767 |      955928 |    32618374 |       32846 |      876889 |      256584 |     9579658 |     4542394 |      653466 |     2316214 |     7511769
    miss rate                        |       0.16% |       0.18% |       0.82% |       0.05% |       0.54% |       0.01% |       0.72% |       3.60% |       0.01% |       0.05% |       0.10% |       0.56% |       3.90% |       0.06% |       0.22% |       1.03%
    mpki                             |        0.55 |        0.70 |        2.73 |        0.20 |        2.19 |        0.08 |        2.67 |       26.96 |        0.02 |        0.22 |        0.45 |        2.67 |       18.17 |        0.30 |        1.13 |        4.60
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      337968 |     1590505 |     1721861 |      188673 |     4248042 |      163810 |      955942 |    32618380 |       32898 |      878281 |      256587 |     9579723 |     4542478 |      653522 |     2316304 |     7511779
    num misses                       |      104105 |      253428 |      156074 |      101944 |      607509 |       48130 |      955931 |    23283898 |       29172 |       27819 |      172547 |       61244 |     1361693 |      103000 |       32089 |      674074
    miss rate                        |      30.80% |      15.93% |       9.06% |      54.03% |      14.30% |      29.38% |     100.00% |      71.38% |      88.67% |       3.17% |      67.25% |       0.64% |      29.98% |      15.76% |       1.39% |       8.97%
    mpki                             |        0.17 |        0.11 |        0.25 |        0.11 |        0.31 |        0.02 |        2.67 |       19.25 |        0.01 |        0.01 |        0.31 |        0.02 |        5.45 |        0.05 |        0.02 |        0.41
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    61600021 |   317556072 |    60037678 |    82966606 |   309469615 |   162084234 |    39851152 |   138568363 |   155595492 |   449226544 |    43948664 |   524668541 |    43801034 |   242894761 |   194990256 |   191846099
