                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   275782588 |  3362571166 |  2057506465 |   950540701 |  3432172119 |  1860217776 |  2051951665 |  2140928106 |  1136430609 |   249999886 |   983558640 |   570663558 |  4249632068 |   622827937 |   368194696 |  4848214631
  Cycles                             |  2681388490 |  2681387507 |  2681387508 |  2681387925 |  2681387500 |  2681387501 |  2681387715 |  2681387505 |  2681387492 |  2681384945 |  2681388050 |  2681387626 |  2681387493 |  2681387883 |  2681387784 |  2681387509
  IPC                                |        0.10 |        1.25 |        0.77 |        0.35 |        1.28 |        0.69 |        0.77 |        0.80 |        0.42 |        0.09 |        0.37 |        0.21 |        1.58 |        0.23 |        0.14 |        1.81
  Time (ns)                          |   893796164 |   893795836 |   893795836 |   893795975 |   893795834 |   893795834 |   893795905 |   893795835 |   893795831 |   893794982 |   893796017 |   893795876 |   893795831 |   893795961 |   893795928 |   893795837
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    46986123 |   270431046 |   116971348 |    21678370 |   151000385 |   239689441 |    94486028 |   327353396 |    69054545 |    34399075 |   149106545 |     5174381 |   283137828 |    33734995 |    29155003 |   894741026
  num incorrect                      |     4258574 |    45415073 |    19789261 |      385866 |     8586998 |    56005406 |      785141 |    83931144 |    41554438 |     4720676 |    32469615 |       34646 |    48606886 |      788986 |     2387480 |    61038684
  misprediction rate                 |       8.31% |      14.38% |      14.47% |       1.75% |       5.38% |      18.94% |       0.82% |      20.41% |      37.57% |      12.07% |      17.88% |       0.67% |      14.65% |       2.29% |       7.57% |       6.39%
  mpki                               |       15.44 |       13.51 |        9.62 |        0.41 |        2.50 |       30.11 |        0.38 |       39.20 |       36.57 |       18.88 |       33.01 |        0.06 |       11.44 |        1.27 |        6.48 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    32058171 |   492582927 |   230777500 |    85201438 |   327264871 |   260819048 |   156976810 |   278571299 |   135575066 |    43801034 |   136408318 |    50435675 |   515690656 |    62587666 |    31161019 |   794987597
    num misses                       |          42 |          65 |          56 |           4 |           8 |         179 |          43 |          19 |          10 |          84 |         246 |           3 |          18 |          47 |          42 |          39
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    95404577 |  1612176200 |   967575499 |   374402714 |  1045562645 |   726408427 |  1180763881 |   720566914 |   522701789 |   116504258 |   382142725 |   155353665 |  1792084391 |   217643479 |   101360476 |  1580030714
    num misses                       |     1599905 |     8995232 |      627871 |      196263 |      333403 |     1292405 |      158387 |     3185836 |     3577429 |     4542115 |     2037230 |      277327 |    12748812 |      339799 |      494116 |          23
    miss rate                        |       1.68% |       0.56% |       0.06% |       0.05% |       0.03% |       0.18% |       0.01% |       0.44% |       0.68% |       3.90% |       0.53% |       0.18% |       0.71% |       0.16% |       0.49% |       0.00%
