                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4866111666 |  4143096676 |  3129526079 |  4523898873 |  1082574383 |  2243080167 |  5987759985 |   249999989
  Cycles                             |  4418898155 |  4418898177 |  4418898311 |  4418898306 |  4418898880 |  4418898012 |  4418898061 |  4418894109
  IPC                                |        1.10 |        0.94 |        0.71 |        1.02 |        0.24 |        0.51 |        1.36 |        0.06
  Time (ns)                          |  1472966052 |  1472966059 |  1472966104 |  1472966102 |  1472966293 |  1472966004 |  1472966020 |  1472964703
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   431786516 |   449300171 |   403083477 |   257667686 |   183101242 |   136367235 |   275742770 |    43244780
  num incorrect                      |    72166478 |    68542604 |    94120984 |    43542283 |    16869780 |    82059114 |     2295200 |    11689069
  misprediction rate                 |      14.32% |      13.24% |      18.93% |      14.46% |       8.44% |      37.57% |       0.83% |      21.28%
  mpki                               |       14.83 |       16.54 |       30.08 |        9.62 |       15.58 |       36.58 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   552760294 |   487800360 |   438823180 |   507824996 |   125645959 |   267756013 |   458093286 |    23761816
    num misses                       |        1694 |          10 |         234 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2034807192 |  1861224529 |  1222572332 |  2126227316 |   376253188 |  1031167459 |  3445551417 |    88558906
    num misses                       |     1073738 |    18779330 |     2182740 |     1374063 |     6424982 |     7096198 |      464779 |    21160468
    miss rate                        |       0.05% |       1.01% |       0.18% |       0.06% |       1.71% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.53 |        0.70 |        0.30 |        5.93 |        3.16 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1075432 |    18779340 |     2182974 |     1374119 |     6425024 |     7096208 |      464822 |    21160471
    num misses                       |       33932 |     1667601 |      348480 |      216871 |     1745822 |     5643039 |      133072 |    10898706
    miss rate                        |       3.16% |       8.88% |      15.96% |      15.78% |      27.17% |      79.52% |      28.63% |      51.51%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.61 |        2.52 |        0.02 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   552760294 |   487800360 |   438823180 |   507824996 |   125645959 |   267756013 |   458093286 |    23761816
    num cache misses                 |     7170772 |       89128 |    12903646 |     1053511 |       64285 |       67095 |      221061 |       60196
    miss rate                        |       1.30% |       0.02% |       2.94% |       0.21% |       0.05% |       0.03% |       0.05% |       0.25%
    mpki                             |        1.47 |        0.02 |        4.12 |        0.23 |        0.06 |        0.03 |        0.04 |        0.24
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2034807192 |  1861224529 |  1222572332 |  2126227316 |   376253188 |  1031167459 |  3445551417 |    88558906
    num cache misses                 |    18893329 |    59672077 |    15368962 |    12977310 |    44062512 |    15952365 |    31110915 |    28788381
    miss rate                        |       0.93% |       3.21% |       1.26% |       0.61% |      11.71% |       1.55% |       0.90% |      32.51%
    mpki                             |        3.88 |       14.40 |        4.91 |        2.87 |       40.70 |        7.11 |        5.20 |      115.15
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    26306285 |    60471368 |    29417959 |    14108866 |    48165684 |    17893712 |    31385537 |    32689619
    num cache misses                 |     4808608 |    23574094 |     6421911 |     8205836 |    32840009 |    11323379 |    17017566 |    20779960
    miss rate                        |      18.28% |      38.98% |      21.83% |      58.16% |      68.18% |      63.28% |      54.22% |      63.57%
    mpki                             |        0.99 |        5.69 |        2.05 |        1.81 |       30.34 |        5.05 |        2.84 |       83.12
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5141305 |    24421398 |     7600345 |     8329463 |    36889483 |    13624178 |    17082417 |    24693292
    num cache misses                 |     4437660 |     7707777 |     5391877 |     8029168 |    22990762 |     6928211 |    10497414 |    19065354
    miss rate                        |      86.31% |      31.56% |      70.94% |      96.39% |      62.32% |      50.85% |      61.45% |      77.21%
    mpki                             |        0.91 |        1.86 |        1.72 |        1.77 |       21.24 |        3.09 |        1.75 |       76.26
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   123334871 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      173.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       63.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      83.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
