                                   | Core 0    
  Instructions                     |   99999883
  Cycles                           |  220632394
  IPC                              |       0.45
  Time (ns)                        |   73544131
Branch predictor stats             |           
  num correct                      |    2618960
  num incorrect                    |    1303725
  misprediction rate               |     33.24%
  mpki                             |      13.04
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    7595834
    num misses                     |         10
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   51286768
    num misses                     |      29093
    miss rate                      |      0.06%
    mpki                           |       0.29
  L2 TLB                           |           
    num accesses                   |      29103
    num misses                     |      27483
    miss rate                      |     94.43%
    mpki                           |       0.27
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    7595834
    num cache misses               |     117579
    miss rate                      |      1.55%
    mpki                           |       1.18
  Cache L1-D                       |           
    num cache accesses             |   51286768
    num cache misses               |    7460263
    miss rate                      |     14.55%
    mpki                           |      74.60
  Cache L2                         |           
    num cache accesses             |    7600500
    num cache misses               |    7510605
    miss rate                      |     98.82%
    mpki                           |      75.11
  Cache L3                         |           
    num cache accesses             |    7533263
    num cache misses               |    7500463
    miss rate                      |     99.56%
    mpki                           |      75.00
DRAM summary                       |           
  num dram accesses                |   14984542
  average dram access latency (ns) |      54.91
  average dram queueing delay      |       4.91
Coherency Traffic                  |           
  num loads from dram              |    7132095
  num loads from dram cache        |          0
  num loads from remote cache      |          0
