                                     | Core 0     
  Instructions                       |   249999989
  Cycles                             |  2621356841
  IPC                                |        0.10
  Time (ns)                          |   873785614
Branch predictor stats               |            
  num correct                        |    43244780
  num incorrect                      |    11689069
  misprediction rate                 |      21.28%
  mpki                               |       46.76
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    23761816
    num misses                       |           3
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    88558906
    num misses                       |    21160163
    miss rate                        |      23.89%
    mpki                             |       84.64
  L2 TLB                             |            
    num accesses                     |    21160166
    num misses                       |    10898272
    miss rate                        |      51.50%
    mpki                             |       43.59
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    23761816
    num cache misses                 |       54284
    miss rate                        |       0.23%
    mpki                             |        0.22
  Cache L1-D                         |            
    num cache accesses               |    88558906
    num cache misses                 |    28734871
    miss rate                        |      32.45%
    mpki                             |      114.94
  Cache L2                           |            
    num cache accesses               |    32092595
    num cache misses                 |    20156056
    miss rate                        |      62.81%
    mpki                             |       80.62
  Cache L3                           |            
    num cache accesses               |    23529801
    num cache misses                 |    14490517
    miss rate                        |      61.58%
    mpki                             |       57.96
DRAM summary                         |            
  num dram accesses                  |    18117594
  average dram access latency (ns)   |      111.44
  average dram queueing delay        |        1.43
  average dram bandwidth utilization |      20.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
