                                     | Core 0     
  Instructions                       |   249999980
  Cycles                             |  1591124604
  IPC                                |        0.16
  Time (ns)                          |   530374868
Branch predictor stats               |            
  num correct                        |    42338506
  num incorrect                      |     3913322
  misprediction rate                 |       8.46%
  mpki                               |       15.65
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    28960848
    num misses                       |          42
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    86565665
    num misses                       |     1462251
    miss rate                        |       1.69%
    mpki                             |        5.85
  L2 TLB                             |            
    num accesses                     |     1462293
    num misses                       |      397394
    miss rate                        |      27.18%
    mpki                             |        1.59
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    28960848
    num cache misses                 |       34181
    miss rate                        |       0.12%
    mpki                             |        0.14
  Cache L1-D                         |            
    num cache accesses               |    86565665
    num cache misses                 |    10134792
    miss rate                        |      11.71%
    mpki                             |       40.54
  Cache L2                           |            
    num cache accesses               |    11658176
    num cache misses                 |     8979564
    miss rate                        |      77.02%
    mpki                             |       35.92
  Cache L3                           |            
    num cache accesses               |    10469253
    num cache misses                 |     7412956
    miss rate                        |      70.81%
    mpki                             |       29.65
DRAM summary                         |            
  num dram accesses                  |    10182601
  average dram access latency (ns)   |      267.88
  average dram queueing delay        |      182.85
  average dram bandwidth utilization |      76.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
