                                   | Core 0    
  Instructions                     |  499999881
  Cycles                           |  874001419
  IPC                              |       0.57
  Time (ns)                        |  291333807
Branch predictor stats             |           
  num correct                      |    6483488
  num incorrect                    |      51928
  misprediction rate               |      0.79%
  mpki                             |       0.10
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   44416735
    num misses                     |         25
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  251401516
    num misses                     |    4594594
    miss rate                      |      1.83%
    mpki                           |       9.19
  L2 TLB                           |           
    num accesses                   |    4594619
    num misses                     |    2797026
    miss rate                      |     60.88%
    mpki                           |       5.59
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   44416735
    num cache misses               |     202786
    miss rate                      |      0.46%
    mpki                           |       0.41
  Cache L1-D                       |           
    num cache accesses             |  251401516
    num cache misses               |   14672154
    miss rate                      |      5.84%
    mpki                           |      29.34
  Cache L2                         |           
    num cache accesses             |   16197606
    num cache misses               |   13131041
    miss rate                      |     81.07%
    mpki                           |      26.26
  Cache L3                         |           
    num cache accesses             |   14453717
    num cache misses               |    5360372
    miss rate                      |     37.09%
    mpki                           |      10.72
DRAM summary                       |           
  num dram accesses                |    6801427
  average dram access latency (ns) |     109.65
  average dram queueing delay      |      24.61
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
