                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  4262824460 |  6887715119 |   322955234 |   413774498 |   275772657 |   846827695 |   664627379 |   249999886 |  4553862544 |   674780803 |  2196892140 |   457597799 |  4202020637 |  1325539241 |  2609556828 |  4917966629
  Cycles                             |  3699287400 |  3699287403 |  3699287826 |  3699287907 |  3699287527 |  3699287587 |  3699287860 |  3699282851 |  3699287384 |  3699287732 |  3699287746 |  3699287409 |  3699287400 |  3699287400 |  3699287414 |  3699287400
  IPC                                |        1.15 |        1.86 |        0.09 |        0.11 |        0.07 |        0.23 |        0.18 |        0.07 |        1.23 |        0.18 |        0.59 |        0.12 |        1.14 |        0.36 |        0.71 |        1.33
  Time (ns)                          |  1233095800 |  1233095801 |  1233095942 |  1233095969 |  1233095843 |  1233095863 |  1233095954 |  1233094284 |  1233095795 |  1233095911 |  1233095916 |  1233095803 |  1233095800 |  1233095800 |  1233095805 |  1233095800
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   337909851 |  1271131725 |    54330945 |     7546278 |    45011224 |    51448149 |    40665503 |    34399075 |   200668475 |    20223483 |   240216408 |     4128527 |   337887828 |     1728583 |   149071990 |   653604056
  num incorrect                      |    27631503 |    86715375 |     4977355 |    10579458 |     2747721 |    30959057 |     1516696 |     4720676 |    11398630 |     9758300 |    36567638 |       27596 |    56753218 |       29294 |    25260900 |    66243868
  misprediction rate                 |       7.56% |       6.39% |       8.39% |      58.37% |       5.75% |      37.57% |       3.60% |      12.07% |       5.38% |      32.55% |      13.21% |       0.66% |      14.38% |       1.67% |      14.49% |       9.20%
  mpki                               |        6.48 |       12.59 |       15.41 |       25.57 |        9.96 |       36.56 |        2.28 |       18.88 |        2.50 |       14.46 |       16.65 |        0.06 |       13.51 |        0.02 |        9.68 |       13.47
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
