                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1126207306 |  4254573451 |   420083265 |  7735022583 |   456608689 |  8114708752 |  3547119628 |   482488877 |   851173159 |  1756788119 |  1040135742 |  3937788808 |   249999981 |   661724555 |  9617131522 |  7613846434
  Cycles                             |  6017331192 |  6017331093 |  6017331223 |  6017331060 |  6017331065 |  6017331201 |  6017331063 |  6017331221 |  6017331060 |  6017331380 |  6017331492 |  6017331060 |  6017328750 |  6017331308 |  6017331060 |  6017331060
  IPC                                |        0.19 |        0.71 |        0.07 |        1.29 |        0.08 |        1.35 |        0.59 |        0.08 |        0.14 |        0.29 |        0.17 |        0.65 |        0.04 |        0.11 |        1.60 |        1.27
  Time (ns)                          |  2005777064 |  2005777031 |  2005777075 |  2005777020 |  2005777022 |  2005777067 |  2005777021 |  2005777074 |  2005777020 |  2005777127 |  2005777164 |  2005777020 |  2005776250 |  2005777103 |  2005777020 |  2005777020
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    60693351 |   785183065 |    69413315 |   685045420 |    62770091 |  1082027313 |   534661667 |    81641127 |     7718269 |    40500691 |    34693706 |   209892556 |    58565837 |    12380339 |   640799353 |   335298991
  num incorrect                      |     1419632 |    53564245 |     4400563 |   114251154 |     8635953 |   109148332 |    60206388 |     7546581 |       51682 |      722394 |    16274395 |   150392136 |     6500447 |    17212090 |   109996697 |    19046070
  misprediction rate                 |       2.29% |       6.39% |       5.96% |      14.29% |      12.09% |       9.16% |      10.12% |       8.46% |       0.67% |       1.75% |      31.93% |      41.74% |       9.99% |      58.16% |      14.65% |       5.38%
  mpki                               |        1.26 |       12.59 |       10.48 |       14.77 |       18.91 |       13.45 |       16.97 |       15.64 |        0.06 |        0.41 |       15.65 |       38.19 |       26.00 |       26.01 |       11.44 |        2.50
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   112987339 |   697643546 |    70463007 |   878236620 |    79972365 |  1216183997 |   568080404 |    55906183 |    75227236 |   156995283 |    81331158 |   319281542 |    21135842 |    72040322 |  1166916172 |   725808777
    num misses                       |          47 |          39 |           4 |        2634 |          92 |        5256 |       21328 |          42 |           3 |           4 |           3 |          52 |       17441 |          14 |          18 |           8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   392078481 |  1386558348 |   128080930 |  3234499496 |   212806486 |  3164177392 |  1430458025 |   167392176 |   231723188 |   689922403 |   452730523 |  1158815049 |    86633855 |   242430353 |  4055208468 |  2318232310
    num misses                       |      606754 |          23 |      152535 |     1705798 |     8279033 |      984608 |     8096979 |     2862939 |      413674 |      368347 |      468154 |       67980 |     1331698 |     1696274 |    28825464 |      734691
    miss rate                        |       0.15% |       0.00% |       0.12% |       0.05% |       3.89% |       0.03% |       0.57% |       1.71% |       0.18% |       0.05% |       0.10% |       0.01% |       1.54% |       0.70% |       0.71% |       0.03%
    mpki                             |        0.54 |        0.00 |        0.36 |        0.22 |       18.13 |        0.12 |        2.28 |        5.93 |        0.49 |        0.21 |        0.45 |        0.02 |        5.33 |        2.56 |        3.00 |        0.10
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      606801 |          62 |      152539 |     1708432 |     8279125 |      989864 |     8118307 |     2862981 |      413677 |      368351 |      468157 |       68032 |     1349139 |     1696288 |    28825482 |      734699
    num misses                       |      187832 |          62 |      152539 |       53949 |     2470132 |       28736 |     1157721 |      775677 |      413363 |      191544 |      318776 |       60624 |     1140473 |     1696269 |      220020 |       18327
    miss rate                        |      30.95% |     100.00% |     100.00% |       3.16% |      29.84% |       2.90% |      14.26% |      27.09% |      99.92% |      52.00% |      68.09% |      89.11% |      84.53% |     100.00% |       0.76% |       2.49%
    mpki                             |        0.17 |        0.00 |        0.36 |        0.01 |        5.41 |        0.00 |        0.33 |        1.61 |        0.49 |        0.11 |        0.31 |        0.02 |        4.56 |        2.56 |        0.02 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   112987339 |   697643546 |    70463007 |   878236620 |    79972365 |  1216183997 |   568080404 |    55906183 |    75227236 |   156995283 |    81331158 |   319281542 |    21135842 |    72040322 |  1166916172 |   725808777
    num cache misses                 |      110471 |     8814208 |       11764 |    12070918 |     1743161 |    25058235 |    10966306 |       64234 |      584480 |      226105 |      117094 |       77802 |      404438 |       55261 |    10074883 |      118232
    miss rate                        |       0.10% |       1.26% |       0.02% |       1.37% |       2.18% |       2.06% |       1.93% |       0.11% |       0.78% |       0.14% |       0.14% |       0.02% |       1.91% |       0.08% |       0.86% |       0.02%
    mpki                             |        0.10 |        2.07 |        0.03 |        1.56 |        3.82 |        3.09 |        3.09 |        0.13 |        0.69 |        0.13 |        0.11 |        0.02 |        1.62 |        0.08 |        1.05 |        0.02
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   392078481 |  1386558348 |   128080930 |  3234499496 |   212806486 |  3164177392 |  1430458025 |   167392176 |   231723188 |   689922403 |   452730523 |  1158815049 |    86633855 |   242430353 |  4055208468 |  2318232310
    num cache misses                 |    13942331 |      814232 |     9764893 |    30099166 |    12124796 |    43412751 |    13569640 |    19645950 |    43702113 |    17883032 |    23040512 |     4172817 |     7456132 |    18608726 |    19102304 |    61496741
    miss rate                        |       3.56% |       0.06% |       7.62% |       0.93% |       5.70% |       1.37% |       0.95% |      11.74% |      18.86% |       2.59% |       5.09% |       0.36% |       8.61% |       7.68% |       0.47% |       2.65%
    mpki                             |       12.38 |        0.19 |       23.25 |        3.89 |       26.55 |        5.35 |        3.83 |       40.72 |       51.34 |       10.18 |       22.15 |        1.06 |       29.82 |       28.12 |        1.99 |        8.08
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    16098973 |     9773054 |    13110275 |    42219715 |    16295738 |    68765457 |    25002489 |    21799384 |    44286604 |    18111449 |    24747302 |     4361757 |     7881189 |    21018424 |    29292630 |    61827849
    num cache misses                 |    11380704 |     3328469 |     9776657 |    16754165 |    11918388 |     3937844 |    13164528 |    17380227 |    28806376 |    12557762 |    20646957 |     4057960 |     7533472 |    18663987 |     2872980 |     1935425
    miss rate                        |      70.69% |      34.06% |      74.57% |      39.68% |      73.14% |       5.73% |      52.65% |      79.73% |      65.05% |      69.34% |      83.43% |      93.03% |      95.59% |      88.80% |       9.81% |       3.13%
    mpki                             |       10.11 |        0.78 |       23.27 |        2.17 |       26.10 |        0.49 |        3.71 |       36.02 |       33.84 |        7.15 |       19.85 |        1.03 |       30.13 |       28.21 |        0.30 |        0.25
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
