                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1996134431 |   6493556568 |   7834739060 |   3303714351 |   3383303321 |    249999989 |  19812428630 |   5037172482 |    856295403 |   1286699614 |   4404311099 |    877507534 |   3565855485 |   1272328517 |   4334213172 |   2179174491
  Cycles                             |  10943425502 |  10943425700 |  10943425663 |  10943426883 |  10943425938 |  10943410647 |  10943425504 |  10943425940 |  10943426772 |  10943427043 |  10943425949 |  10943425633 |  10943425522 |  10943425696 |  10943427187 |  10943425809
  IPC                                |         0.18 |         0.59 |         0.72 |         0.30 |         0.31 |         0.02 |         1.81 |         0.46 |         0.08 |         0.12 |         0.40 |         0.08 |         0.33 |         0.12 |         0.40 |         0.20
  Time (ns)                          |   3647808501 |   3647808567 |   3647808555 |   3647808961 |   3647808646 |   3647803549 |   3647808502 |   3647808647 |   3647808924 |   3647809015 |   3647808650 |   3647808545 |   3647808508 |   3647808566 |   3647809063 |   3647808603
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     67883233 |    299036807 |   1197754036 |     75973902 |    205656910 |     43244780 |   3656393194 |     94652931 |    139658840 |    101989332 |    477730095 |    120623196 |    543780871 |     24867407 |      5643108 |    134514790
  num incorrect                      |     31690954 |      2489067 |    307002435 |      1354238 |    123754160 |     11689069 |    249434372 |     14416489 |      8900764 |      8338221 |     72932072 |     16573545 |    116134149 |     34317446 |        95632 |      4708131
  misprediction rate                 |       31.83% |        0.83% |       20.40% |        1.75% |       37.57% |       21.28% |        6.39% |       13.22% |        5.99% |        7.56% |       13.24% |       12.08% |       17.60% |       57.98% |        1.67% |        3.38%
  mpki                               |        15.88 |         0.38 |        39.18 |         0.41 |        36.58 |        46.76 |        12.59 |         2.86 |        10.39 |         6.48 |        16.56 |        18.89 |        32.57 |        26.97 |         0.02 |         2.16
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    156511076 |    496790091 |   1019302700 |    295323152 |    403806233 |     23761816 |   3248739339 |    479922142 |    142701174 |    107909292 |    518684588 |    153747018 |    491383573 |    140766879 |    496475778 |    207084517
    num misses                       |            3 |           43 |           19 |            4 |           10 |            3 |           39 |          138 |            4 |           42 |           10 |          105 |          634 |           14 |            6 |           22
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    861508126 |   3736603491 |   2637279178 |   1296293518 |   1555616610 |     88558906 |   6456834176 |   2559326861 |    261833599 |    354112899 |   1978318993 |    408899429 |   1383134372 |    477489098 |   3242173829 |    724914362
    num misses                       |       893850 |       503926 |     11674068 |       687172 |     10688037 |     21159801 |           23 |      5681345 |       307005 |      1731681 |     19966849 |     15921831 |      7349728 |      3358229 |    116882586 |      5815881
    miss rate                        |        0.10% |        0.01% |        0.44% |        0.05% |        0.69% |       23.89% |        0.00% |        0.22% |        0.12% |        0.49% |        1.01% |        3.89% |        0.53% |        0.70% |        3.61% |        0.80%
    mpki                             |         0.45 |         0.08 |         1.49 |         0.21 |         3.16 |        84.64 |         0.00 |         1.13 |         0.36 |         1.35 |         4.53 |        18.14 |         2.06 |         2.64 |        26.97 |         2.67
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       893853 |       503969 |     11674087 |       687176 |     10688047 |     21159804 |           62 |      5681483 |       307009 |      1731723 |     19966859 |     15921936 |      7350362 |      3358243 |    116882592 |      5815903
    num misses                       |       612056 |       144337 |      2444303 |       358967 |      8496416 |     10898290 |           62 |        78258 |       307009 |       539402 |      1771911 |      4769371 |       714973 |      3358203 |     83373474 |       560321
    miss rate                        |       68.47% |       28.64% |       20.94% |       52.24% |       79.49% |       51.50% |      100.00% |        1.38% |      100.00% |       31.15% |        8.87% |       29.95% |        9.73% |      100.00% |       71.33% |        9.63%
    mpki                             |         0.31 |         0.02 |         0.31 |         0.11 |         2.51 |        43.59 |         0.00 |         0.02 |         0.36 |         0.42 |         0.40 |         5.44 |         0.20 |         2.64 |        19.24 |         0.26
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    156511076 |    496790091 |   1019302700 |    295323152 |    403806233 |     23761816 |   3248739339 |    479922142 |    142701174 |    107909292 |    518684588 |    153747018 |    491383573 |    140766879 |    496475778 |    207084517
    num cache misses                 |        31892 |       194047 |      3633357 |        45145 |        55335 |        28830 |     30623094 |        93333 |         3803 |        94886 |        53706 |      1610896 |     27636113 |        15556 |       257548 |       162382
    miss rate                        |        0.02% |        0.04% |        0.36% |        0.02% |        0.01% |        0.12% |        0.94% |        0.02% |        0.00% |        0.09% |        0.01% |        1.05% |        5.62% |        0.01% |        0.05% |        0.08%
    mpki                             |         0.02 |         0.03 |         0.46 |         0.01 |         0.02 |         0.12 |         1.55 |         0.02 |         0.00 |         0.07 |         0.01 |         1.84 |         7.75 |         0.01 |         0.06 |         0.07
  Cache L1-D                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    861508126 |   3736603491 |   2637279178 |   1296293518 |   1555616610 |     88558906 |   6456834176 |   2559326861 |    261833599 |    354112899 |   1978318993 |    408899429 |   1383134372 |    477489098 |   3242173829 |    724914362
    num cache misses                 |     44076450 |     33768963 |     10057222 |     33333778 |     24029678 |     28786842 |       227027 |     39511383 |     19642881 |     18872441 |     63469899 |     22682857 |     32031751 |     37050206 |     35391298 |     41302196
    miss rate                        |        5.12% |        0.90% |        0.38% |        2.57% |        1.54% |       32.51% |        0.00% |        1.54% |        7.50% |        5.33% |        3.21% |        5.55% |        2.32% |        7.76% |        1.09% |        5.70%
    mpki                             |        22.08 |         5.20 |         1.28 |        10.09 |         7.10 |       115.15 |         0.01 |         7.84 |        22.94 |        14.67 |        14.41 |        25.85 |         8.98 |        29.12 |         8.17 |        18.95
  Cache L2                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
