                                   | Core 0     
  Instructions                     |   499999968
  Cycles                           |  1165662833
  IPC                              |        0.43
  Time (ns)                        |   388554278
Branch predictor stats             |            
  num correct                      |    68510980
  num incorrect                    |     9459886
  misprediction rate               |      12.13%
  mpki                             |       18.92
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    87688048
    num misses                     |          66
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   233544212
    num misses                     |     9280427
    miss rate                      |       3.97%
    mpki                           |       18.56
  L2 TLB                           |            
    num accesses                   |     9280493
    num misses                     |     2733205
    miss rate                      |      29.45%
    mpki                           |        5.47
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    87688048
    num cache misses               |     1672166
    miss rate                      |       1.91%
    mpki                           |        3.34
  Cache L1-D                       |            
    num cache accesses             |   233544212
    num cache misses               |    12933015
    miss rate                      |       5.54%
    mpki                           |       25.87
  Cache L2                         |            
    num cache accesses             |    16882756
    num cache misses               |    12696325
    miss rate                      |      75.20%
    mpki                           |       25.39
  Cache L3                         |            
    num cache accesses             |    14977083
    num cache misses               |     7758094
    miss rate                      |      51.80%
    mpki                           |       15.52
DRAM summary                       |            
  num dram accesses                |    11105141
  average dram access latency (ns) |       70.44
  average dram queueing delay      |        5.42
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
