                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   372721951 |  6436936169 |   266636031 |   377779940 |   253012375 |   943329650 |   625771938 |   249999886 |  4224428966 |   612530462 |  1186751726 |   479967729 |  3897834209 |  1273723876 |  2201421389 |  4417891939
  Cycles                             |  3564208148 |  3564207273 |  3564206931 |  3564207220 |  3564206873 |  3564206700 |  3564207387 |  3564203536 |  3564206999 |  3564206700 |  3564207379 |  3564208822 |  3564207719 |  3564207846 |  3564206788 |  3564206700
  IPC                                |        0.10 |        1.81 |        0.07 |        0.11 |        0.07 |        0.26 |        0.18 |        0.07 |        1.19 |        0.17 |        0.33 |        0.13 |        1.09 |        0.36 |        0.62 |        1.24
  Time (ns)                          |  1188069383 |  1188069091 |  1188068977 |  1188069074 |  1188068958 |  1188068900 |  1188069129 |  1188067846 |  1188069000 |  1188068900 |  1188069127 |  1188069608 |  1188069240 |  1188069282 |  1188068930 |  1188068900
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    29512379 |  1187939771 |    45456060 |     7143653 |    41143775 |    57325112 |    38375038 |    34399075 |   186556907 |    18802173 |   130261527 |     4328413 |   313506038 |     1666665 |   125731150 |   586830656
  num incorrect                      |     2417758 |    81039968 |     4079918 |     9935261 |     2525610 |    34495049 |     1338114 |     4720676 |    10577682 |     9012656 |    19767755 |       28930 |    52642981 |       28246 |    21323517 |    59517951
  misprediction rate                 |       7.57% |       6.39% |       8.24% |      58.17% |       5.78% |      37.57% |       3.37% |      12.07% |       5.37% |      32.40% |      13.18% |       0.66% |      14.38% |       1.67% |      14.50% |       9.21%
  mpki                               |        6.49 |       12.59 |       15.30 |       26.30 |        9.98 |       36.57 |        2.14 |       18.88 |        2.50 |       14.71 |       16.66 |        0.06 |       13.51 |        0.02 |        9.69 |       13.47
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    31519449 |  1055497020 |    30966850 |    41546654 |    42415616 |   112530550 |    59608188 |    43801034 |   402375320 |    47582894 |   139136041 |    42418449 |   571034531 |   145878660 |   247406361 |   663246517
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        2902
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   102595882 |  2097788763 |    92234912 |   139019804 |    76458919 |   433778983 |   208197015 |   116504258 |  1284238193 |   275813037 |   528484833 |   130338857 |  1868836463 |   952881505 |  1033657766 |  1726826854
    num misses                       |      500665 |          23 |     1543942 |      993697 |       89539 |     2971335 |     1721069 |     4542500 |      412417 |      280870 |     5529229 |      231268 |    10434257 |    34504106 |      665663 |      535037
    miss rate                        |       0.49% |       0.00% |       1.67% |       0.71% |       0.12% |       0.68% |       0.83% |       3.90% |       0.03% |       0.10% |       1.05% |       0.18% |       0.56% |       3.62% |       0.06% |       0.03%
    mpki                             |        1.34 |        0.00 |        5.79 |        2.63 |        0.35 |        3.15 |        2.75 |       18.17 |        0.10 |        0.46 |        4.66 |        0.48 |        2.68 |       27.09 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      500707 |          62 |     1543984 |      993711 |       89543 |     2971345 |     1721091 |     4542584 |      412425 |      280873 |     5529239 |      231271 |    10434322 |    34504112 |      665719 |      537939
    num misses                       |      158080 |          62 |      423160 |      993700 |       89543 |     2359506 |      155310 |     1361664 |       10326 |      187110 |      494181 |      231091 |       66157 |    24611480 |      104920 |       15815
    miss rate                        |      31.57% |     100.00% |      27.41% |     100.00% |     100.00% |      79.41% |       9.02% |      29.98% |       2.50% |      66.62% |       8.94% |      99.92% |       0.63% |      71.33% |      15.76% |       2.94%
    mpki                             |        0.42 |        0.00 |        1.59 |        2.63 |        0.35 |        2.50 |        0.25 |        5.45 |        0.00 |        0.31 |        0.42 |        0.48 |        0.02 |       19.32 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31519449 |  1055497020 |    30966850 |    41546654 |    42415616 |   112530550 |    59608188 |    43801034 |   402375320 |    47582894 |   139136041 |    42418449 |   571034531 |   145878660 |   247406361 |   663246517
    num cache misses                 |       28101 |     9939522 |       12703 |        5291 |        1220 |       17745 |       56184 |      465225 |       25328 |       10127 |       15584 |       31192 |    16867160 |       92192 |      380314 |    13591967
    miss rate                        |       0.09% |       0.94% |       0.04% |       0.01% |       0.00% |       0.02% |       0.09% |       1.06% |       0.01% |       0.02% |       0.01% |       0.07% |       2.95% |       0.06% |       0.15% |       2.05%
    mpki                             |        0.08 |        1.54 |        0.05 |        0.01 |        0.00 |        0.02 |        0.09 |        1.86 |        0.01 |        0.02 |        0.01 |        0.06 |        4.33 |        0.07 |        0.17 |        3.08
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   102595882 |  2097788763 |    92234912 |   139019804 |    76458919 |   433778983 |   208197015 |   116504258 |  1284238193 |   275813037 |   528484833 |   130338857 |  1868836463 |   952881505 |  1033657766 |  1726826854
    num cache misses                 |     5469553 |       70464 |    10980892 |    10678034 |     5728862 |     6714626 |    12090171 |     6481442 |    34019949 |    13606146 |    17505492 |    24397325 |    61533877 |    10426903 |     6193630 |    23093313
    miss rate                        |       5.33% |       0.00% |      11.91% |       7.68% |       7.49% |       1.55% |       5.81% |       5.56% |       2.65% |       4.93% |       3.31% |      18.72% |       3.29% |       1.09% |       0.60% |       1.34%
    mpki                             |       14.67 |        0.01 |       41.18 |       28.27 |       22.64 |        7.12 |       19.32 |       25.93 |        8.05 |       22.21 |       14.75 |       50.83 |       15.79 |        8.19 |        2.81 |        5.23
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5546307 |    10019586 |    12275035 |    12093272 |     7751705 |     7514506 |    13018061 |     8345471 |    34181102 |    14412482 |    17743148 |    24428530 |    78431976 |    10525059 |     6590765 |    36860583
    num cache misses                 |     4602802 |      200635 |     7557697 |    10683236 |     5730082 |     3534442 |     3462498 |     4982953 |      826880 |    11987348 |     5485041 |    14820749 |      736365 |     6974234 |     3260025 |     1259204
    miss rate                        |      82.99% |       2.00% |      61.57% |      88.34% |      73.92% |      47.03% |      26.60% |      59.71% |       2.42% |      83.17% |      30.91% |      60.67% |       0.94% |      66.26% |      49.46% |       3.42%
    mpki                             |       12.35 |        0.03 |       28.34 |       28.28 |       22.65 |        3.75 |        5.53 |       19.93 |        0.20 |       19.57 |        4.62 |       30.88 |        0.19 |        5.48 |        1.48 |        0.29
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     4673507 |      210235 |     8874764 |    12093183 |     7751705 |     4562079 |     4343285 |     6390385 |      967056 |    12783557 |     5819067 |    14820762 |      773148 |     6991576 |     3342086 |     1451400
    num cache misses                 |     4587539 |      200635 |     6786965 |    10679362 |     5729099 |     2646920 |     3389001 |     4670927 |      826822 |    11974537 |     4351177 |    14786388 |      735964 |     6779002 |     3212647 |     1254100
    miss rate                        |      98.16% |      95.43% |      76.47% |      88.31% |      73.91% |      58.02% |      78.03% |      73.09% |      85.50% |      93.67% |      74.77% |      99.77% |      95.19% |      96.96% |      96.13% |      86.41%
    mpki                             |       12.31 |        0.03 |       25.45 |       28.27 |       22.64 |        2.81 |        5.42 |       18.68 |        0.20 |       19.55 |        3.67 |       30.81 |        0.19 |        5.32 |        1.46 |        0.28
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   115393915 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      497.52 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      387.52 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
