                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   861835766 |  1407116756 |  1700651621 |   973439062 |   785356005 |  1246661306 |  1891045353
  Cycles                             |  1127213915 |  1127215217 |  1127215222 |  1127214936 |  1127214936 |  1127214950 |  1127214946 |  1127214936
  IPC                                |        0.22 |        0.76 |        1.25 |        1.51 |        0.86 |        0.70 |        1.11 |        1.68
  Time (ns)                          |   375737972 |   375738406 |   375738408 |   375738312 |   375738312 |   375738317 |   375738316 |   375738312
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19286093 |    80754886 |    74758388 |     1271516 |    47733713 |   188013551 |   249774231
  num incorrect                      |     2521753 |      341752 |    13674071 |     4247348 |       21548 |    28724105 |    21123433 |    25414392
  misprediction rate                 |       5.85% |       1.74% |      14.48% |       5.38% |       1.67% |      37.57% |      10.10% |       9.24%
  mpki                               |       10.09 |        0.40 |        9.72 |        2.50 |        0.02 |       36.57 |       16.94 |       13.44
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    77732524 |   158489883 |   162249234 |   111493703 |    93722876 |   199593665 |   284662363
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7346 |        1312
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   340711473 |   659797404 |   518333408 |   728214185 |   361178064 |   502070525 |   742120321
    num misses                       |       88470 |      171498 |      424918 |      164852 |    26326324 |     2481785 |     2798114 |      234767
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.62% |       0.69% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       27.04 |        3.16 |        2.24 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      171502 |      424974 |      164860 |    26326330 |     2481795 |     2805460 |      236079
    num misses                       |       88474 |       95721 |       67011 |        4237 |    18836951 |     1972594 |      398879 |        7055
    miss rate                        |     100.00% |      55.81% |      15.77% |       2.57% |      71.55% |      79.48% |      14.22% |       2.99%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.35 |        2.51 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    77732524 |   158489883 |   162249234 |   111493703 |    93722876 |   199593665 |   284662363
    num cache misses                 |        7090 |      100202 |      458045 |       30916 |      469297 |       52171 |     3784236 |     5856044
    miss rate                        |       0.02% |       0.13% |       0.29% |       0.02% |       0.42% |       0.06% |       1.90% |       2.06%
    mpki                             |        0.03 |        0.12 |        0.33 |        0.02 |        0.48 |        0.07 |        3.04 |        3.10
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   340711473 |   659797404 |   518333408 |   728214185 |   361178064 |   502070525 |   742120321
    num cache misses                 |     5663673 |     8509588 |     4045904 |    13796831 |     8023471 |     5589260 |     4682909 |     9576657
    miss rate                        |       7.49% |       2.50% |       0.61% |       2.66% |       1.10% |       1.55% |       0.93% |       1.29%
    mpki                             |       22.65 |        9.87 |        2.88 |        8.11 |        8.24 |        7.12 |        3.76 |        5.06
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     8610152 |     4507723 |    13887428 |     8493079 |     6063640 |     8605545 |    15503001
    num cache misses                 |     5670763 |     6226564 |     3173968 |      516048 |     5940962 |     5255393 |     4522081 |      942745
    miss rate                        |      73.74% |      72.32% |      70.41% |       3.72% |      69.95% |      86.67% |      52.55% |       6.08%
    mpki                             |       22.68 |        7.22 |        2.26 |        0.30 |        6.10 |        6.69 |        3.63 |        0.50
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     6227607 |     3178136 |      577965 |     5941387 |     5742580 |     4660979 |     1013257
    num cache misses                 |     5660106 |     5981579 |     1796063 |      351083 |     5090938 |     1391449 |     1284156 |      483199
    miss rate                        |      73.60% |      96.05% |      56.51% |      60.74% |      85.69% |      24.23% |      27.55% |      47.69%
    mpki                             |       22.64 |        6.94 |        1.28 |        0.21 |        5.23 |        1.77 |        1.03 |        0.26
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29526394 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      152.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       42.77 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
