                                   | Core 0    
  Instructions                     |  249999868
  Cycles                           |  137610091
  IPC                              |       1.82
  Time (ns)                        |   45870030
Branch predictor stats             |           
  num correct                      |   33382056
  num incorrect                    |    3362424
  misprediction rate               |      9.15%
  mpki                             |      13.45
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   37428233
    num misses                     |        212
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   97366813
    num misses                     |      30035
    miss rate                      |      0.03%
    mpki                           |       0.12
  L2 TLB                           |           
    num accesses                   |      30247
    num misses                     |       1076
    miss rate                      |      3.56%
    mpki                           |       0.00
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   37428233
    num cache misses               |     769268
    miss rate                      |      2.06%
    mpki                           |       3.08
  Cache L1-D                       |           
    num cache accesses             |   97366813
    num cache misses               |    1352917
    miss rate                      |      1.39%
    mpki                           |       5.41
  Cache L2                         |           
    num cache accesses             |    2126786
    num cache misses               |     117996
    miss rate                      |      5.55%
    mpki                           |       0.47
  Cache L3                         |           
    num cache accesses             |     122624
    num cache misses               |      45086
    miss rate                      |     36.77%
    mpki                           |       0.18
DRAM summary                       |           
  num dram accesses                |      64012
  average dram access latency (ns) |     107.45
  average dram queueing delay      |      22.41
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
