                                   | Core 0    
  Instructions                     |   99999987
  Cycles                           |   98445555
  IPC                              |       1.02
  Time (ns)                        |   32815185
Branch predictor stats             |           
  num correct                      |   15057740
  num incorrect                    |    3755878
  misprediction rate               |     19.96%
  mpki                             |      37.56
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   13050816
    num misses                     |         17
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   33943487
    num misses                     |     169311
    miss rate                      |      0.50%
    mpki                           |       1.69
  L2 TLB                           |           
    num accesses                   |     169328
    num misses                     |      34632
    miss rate                      |     20.45%
    mpki                           |       0.35
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   13050816
    num cache misses               |      41450
    miss rate                      |      0.32%
    mpki                           |       0.41
  Cache L1-D                       |           
    num cache accesses             |   33943487
    num cache misses               |     128471
    miss rate                      |      0.38%
    mpki                           |       1.28
  Cache L2                         |           
    num cache accesses             |     195214
    num cache misses               |      66136
    miss rate                      |     33.88%
    mpki                           |       0.66
  Cache L3                         |           
    num cache accesses             |      91705
    num cache misses               |      62177
    miss rate                      |     67.80%
    mpki                           |       0.62
DRAM summary                       |           
  num dram accesses                |     107970
  average dram access latency (ns) |      50.33
  average dram queueing delay      |       0.32
Coherency Traffic                  |           
  num loads from dram              |      43460
  num loads from dram cache        |          0
  num loads from remote cache      |          0
