                                   | Core 0     
  Instructions                     |   249999981
  Cycles                           |  1400388485
  IPC                              |        0.18
  Time (ns)                        |   466796162
Branch predictor stats             |            
  num correct                      |    58565837
  num incorrect                    |     6500447
  misprediction rate               |       9.99%
  mpki                             |       26.00
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    21135842
    num misses                     |       17441
    miss rate                      |       0.08%
    mpki                           |        0.07
  D-TLB                            |            
    num accesses                   |    86633855
    num misses                     |     1331526
    miss rate                      |       1.54%
    mpki                           |        5.33
  L2 TLB                           |            
    num accesses                   |     1348967
    num misses                     |     1140457
    miss rate                      |      84.54%
    mpki                           |        4.56
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    21135842
    num cache misses               |      403173
    miss rate                      |       1.91%
    mpki                           |        1.61
  Cache L1-D                       |            
    num cache accesses             |    86633855
    num cache misses               |     7451866
    miss rate                      |       8.60%
    mpki                           |       29.81
  Cache L2                         |            
    num cache accesses             |     7886127
    num cache misses               |     7565049
    miss rate                      |      95.93%
    mpki                           |       30.26
  Cache L3                         |            
    num cache accesses             |     7596761
    num cache misses               |     7442252
    miss rate                      |      97.97%
    mpki                           |       29.77
DRAM summary                       |            
  num dram accesses                |     7508931
  average dram access latency (ns) |      103.03
  average dram queueing delay      |       17.99
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
